Unnamed: 0,Nº Patrimônio,Produto,Descrição,Valor,Cód. Projeto,Projeto,Gestor,Coordenador,Situação,NF,Data Emissão da Nota,Data do Termo de Doação,Nº Termo de Doação
,2190.0,Máquina ou Equipamento,MEDIDOR COM DOIS CANAIS DE PH/; ELETRODO ISE COMBINADO FLUORET; SOLUCAO TISAB III CONCENTRADO; SOLUCAO ENCHIMENTO ELETOLITIC; PADRAO 0.1M FLUORETO 500 ML; ,13751.0,43.0,IFAM 2021-010 - DENSO - Geopolímeros (10885-5),Miriã dos Santos Bezerra,Lizandro Manzato,Doado,115342.0,2021-06-16,2025-12-10,032-2025
,2191.0,Máquina ou Equipamento,AGITADOR MAGNETICO IKA C-MAG HS 10 COD 3581432,8682.0,43.0,IFAM 2021-010 - DENSO - Geopolímeros (10885-5),Miriã dos Santos Bezerra,Lizandro Manzato,Doado,330.0,2021-06-16,2025-12-10,032-2025
,2192.0,Máquina ou Equipamento,VORTEX MULTIFUNCIONAL. 220V. KASVI ,2878.72,43.0,IFAM 2021-010 - DENSO - Geopolímeros (10885-5),Miriã dos Santos Bezerra,Lizandro Manzato,Doado,16825.0,2021-06-29,2025-12-10,032-2025
,2193.0,Máquina ou Equipamento,ESPATULADOR TWISTER EVOLUTION - BIVOLT 1828000006 RENFERT - RENFERT,10000.0,43.0,IFAM 2021-010 - DENSO - Geopolímeros (10885-5),Miriã dos Santos Bezerra,Lizandro Manzato,Doado,1512245.0,2021-06-30,2025-12-10,032-2025
,2194.0,Máquina ou Equipamento,TERMOMETRO DE CONTATO ELETRONICO IKA ETS-D5 COD 0020009906; PLATAFORMAS AQUECEDORAS IKA HASTE DE RETENCAO H 16 V COD 1545100; PLATAFORMAS AQUECEDORAS IKA HASTE DE RETENCAO H 38 COD 3547700; PLATAFORMAS AQUECEDORAS IKA MUFA H 44 COD 243700; ,4722.0,43.0,IFAM 2021-010 - DENSO - Geopolímeros (10885-5),Miriã dos Santos Bezerra,Lizandro Manzato,Doado,356.0,2021-06-30,2025-12-10,032-2025
,2195.0,Máquina ou Equipamento,PRENSA HIDRO-PNEUMATICA MH-8 TON. QUENTE/FRIA /220V /60HZ;,38300.0,43.0,IFAM 2021-010 - DENSO - Geopolímeros (10885-5),Miriã dos Santos Bezerra,Lizandro Manzato,Doado,1797.0,2021-08-20,2025-12-10,032-2025
,2196.0,Máquina ou Equipamento,BOMBA DE SERINGA MARCA NEW ERA MODELO NE-300;,4155.3,43.0,IFAM 2021-010 - DENSO - Geopolímeros (10885-5),Miriã dos Santos Bezerra,Lizandro Manzato,Doado,27159.0,2021-10-22,2025-12-10,032-2025
,2197.0,Máquina ou Equipamento,PeakFit 412;,2853.0,43.0,IFAM 2021-010 - DENSO - Geopolímeros (10885-5),Miriã dos Santos Bezerra,Lizandro Manzato,Doado,13579.0,2022-02-01,2025-12-10,032-2025
,2198.0,Máquina ou Equipamento,MEDIDOR ESPESSURA DIGITAL 0-12.7MM / 0.001MM #Serie:646297;,825.07,43.0,IFAM 2021-010 - DENSO - Geopolímeros (10885-5),Miriã dos Santos Bezerra,Lizandro Manzato,Doado,3957.0,2022-02-07,2025-12-10,032-2025
,,,,86167.09000000001,,,,,,,,,
