Unnamed: 0,Nº Patrimônio,Produto,Descrição,Valor,Cód. Projeto,Projeto,Gestor,Coordenador,Situação,NF,Data Emissão da Nota,Data do Termo de Doação,Nº Termo de Doação
,2140.0,Máquina ou Equipamento,MONITOR DE 27 210-AQJK-DC496ES DELLP2719H; ,4950.0,6.0,IFAM 2020-001 - SAGEMCOM - ORION (10410-8) ,Gabriel Bezerra Nascimento,Micíla Sumária Medeiros Pereira,Doado,6426.0,2021-05-12,2025-12-10,025-2025
,2141.0,Máquina ou Equipamento,NOTEBOOK DELL INSPIRON G3 - INTEL CORE I7-10750H SSD DE 512GB;,41397.0,6.0,IFAM 2020-001 - SAGEMCOM - ORION (10410-8) ,Gabriel Bezerra Nascimento,Micíla Sumária Medeiros Pereira,Doado,3.0,2021-05-13,2025-12-10,025-2025
,2142.0,Máquina ou Equipamento,DOCK STATION DELL UNIVERSAL WD19 USB-C 180W;,2200.0,6.0,IFAM 2020-001 - SAGEMCOM - ORION (10410-8) ,Gabriel Bezerra Nascimento,Micíla Sumária Medeiros Pereira,Doado,6462.0,2021-05-20,2025-12-10,025-2025
,2143.0,Máquina ou Equipamento,MONITOR DE 27 210-AQJK-DC496ES DELL P2719H; ,11550.0,6.0,IFAM 2020-001 - SAGEMCOM - ORION (10410-8) ,Gabriel Bezerra Nascimento,Micíla Sumária Medeiros Pereira,Doado,6460.0,2021-05-20,2025-12-10,025-2025
,2144.0,Máquina ou Equipamento,Notebook Dell G3 15 I7-10750H RTX 2060 6GB GDDR6 16GB RAM SSD 512GD;,86093.0,6.0,IFAM 2020-001 - SAGEMCOM - ORION (10410-8) ,Gabriel Bezerra Nascimento,Micíla Sumária Medeiros Pereira,Doado,74.0,2021-06-07,2025-12-10,025-2025
,2145.0,Máquina ou Equipamento,ACCESS POINT DELL EMC AEROHIVE AP230;,5500.0,6.0,IFAM 2020-001 - SAGEMCOM - ORION (10410-8) ,Gabriel Bezerra Nascimento,Micíla Sumária Medeiros Pereira,Doado,6617.0,2021-06-17,2025-12-10,025-2025
,2146.0,Máquina ou Equipamento,WEBCAM LOGITECH C920S; TECLADO S/FIO LOGITECH K400 SMART TV; ,1366.0,6.0,IFAM 2020-001 - SAGEMCOM - ORION (10410-8) ,Gabriel Bezerra Nascimento,Micíla Sumária Medeiros Pereira,Doado,552.0,2021-12-20,2025-12-10,025-2025
,2147.0,Máquina ou Equipamento,"Notebook Avell G1750 MUV (GTX 1650 (4GB), 16GB, 500GB, 1TB, Win10HSL); ",22000.0,6.0,IFAM 2020-001 - SAGEMCOM - ORION (10410-8) ,Gabriel Bezerra Nascimento,Micíla Sumária Medeiros Pereira,Doado,954.0,2020-04-01,2025-12-10,025-2025
,2148.0,Máquina ou Equipamento,"NOTEBOOK SAMSUNG EXPERT X50 I7, 8GB 1TB, 2GB VIDEO, TELA 15,LED; SSD INT M.2 512GB MS30 (530MB/SATA); MEMORIA P/NOTE 16GB DDR4 2400 KVR; ",5590.0,6.0,IFAM 2020-001 - SAGEMCOM - ORION (10410-8) ,Gabriel Bezerra Nascimento,Micíla Sumária Medeiros Pereira,Doado,4897.0,2020-07-13,2025-12-10,025-2025
,2149.0,Máquina ou Equipamento,"Notebook Avell A62 Liv Preto (120Hz, GTX1650, 
16GB, 500GB, S/NVMe2, Sem HD, Windows 1 HSL, Sem Office)
; ",8049.4,6.0,IFAM 2020-001 - SAGEMCOM - ORION (10410-8) ,Gabriel Bezerra Nascimento,Micíla Sumária Medeiros Pereira,Doado,6010.0,2020-09-17,2025-12-10,025-2025
,2150.0,Máquina ou Equipamento,Adaptador USB-C 6 em 1 - Dell DA300 - 2;,1598.0,6.0,IFAM 2020-001 - SAGEMCOM - ORION (10410-8) ,Gabriel Bezerra Nascimento,Micíla Sumária Medeiros Pereira,Doado,187.0,2021-12-09,2025-12-10,025-2025
,2151.0,Máquina ou Equipamento,Headset over-ear gamer HyperX CloudX Stinger preto e verde;,5700.0,6.0,IFAM 2020-001 - SAGEMCOM - ORION (10410-8) ,Gabriel Bezerra Nascimento,Micíla Sumária Medeiros Pereira,Doado,195.0,2021-12-16,2025-12-10,025-2025
,2152.0,Máquina ou Equipamento,DS2200 CORDED SCANNERS; COLETOR DE DADOS RFID ZEBRA MC3190Z; MONITOR DELL 24; SWITCH GERENCIAVEL;,34660.0,6.0,IFAM 2020-001 - SAGEMCOM - ORION (10410-8) ,Gabriel Bezerra Nascimento,Micíla Sumária Medeiros Pereira,Doado,553.0,2021-12-22,2025-12-10,025-2025
,2153.0,Máquina ou Equipamento,Access Point Dell Emc Aerohive Ap230; Tp-link archer ax6000 router wifi 6 dual band mu-mimo giga; Notebook Gamer Dell G15 I7-10750H RTX2060 16GB RAM 512GB SSD; Storage NAS SYNOLOGY DISKSTATION DS720+ 12TB; ,42288.0,6.0,IFAM 2020-001 - SAGEMCOM - ORION (10410-8) ,Gabriel Bezerra Nascimento,Micíla Sumária Medeiros Pereira,Doado,207.0,2021-12-22,2025-12-10,025-2025
