Unnamed: 0,Nº Patrimônio,Produto,Descrição,Valor,Cód. Projeto,Projeto,Gestor,Coordenador,Situação,NF,Data Emissão da Nota,Data do Termo de Doação,Nº Termo de Doação
,2198.0,Máquina ou Equipamento,"Notebook Acer A515-54G-71Q0 Intel Core i7 8GB
 - 512GB SSD 15,6 LED Placa de Video 2GB
 Windows 10;",6790.0,71.0,IFAM 2021-017 - IDESAM - PPBio Maués (11147-3),Luana Marinho Monteiro,Paulo Adelino de Medeiros,Doado,304.0,2022-04-29,2025-12-10,050-2025
,2199.0,Máquina ou Equipamento,TRENA A LASER BOSCH GLM 500 (0601072H00);,470.0,71.0,IFAM 2021-017 - IDESAM - PPBio Maués (11147-3),Luana Marinho Monteiro,Paulo Adelino de Medeiros,Doado,752694.0,2022-05-31,2025-12-10,050-2025
,2200.0,"Materiais diversos: Abraçadeira, ventilador, caixa plástica, fita crepe, balde, bandeja, bacia, panela, recipiente térmico, bolsa, boné, brinquedo","Tanque GEOMEMBRANA PEAD 0,8mm 10m de vol. util, diam. 3,66m raio 1,83m, circ. 11,49m alt. 1m; ",5000.0,71.0,IFAM 2021-017 - IDESAM - PPBio Maués (11147-3),Luana Marinho Monteiro,Paulo Adelino de Medeiros,Doado,838.0,2022-06-09,2025-12-10,050-2025
,2201.0,Máquina ou Equipamento,Controlador de Carga Painel Solar 30a 12v/24v 2 Usb;,399.6,71.0,IFAM 2021-017 - IDESAM - PPBio Maués (11147-3),Luana Marinho Monteiro,Paulo Adelino de Medeiros,Doado,371.0,2022-06-20,2025-12-10,050-2025
,2202.0,Máquina ou Equipamento,"ELETROBOMBA CONTINENTAL EVOLUTION 127V -
 451765; ELETROBOMBA BRASTEMP PRESA DIRETO NO
 TAMQUE 127V; ",339.96,71.0,IFAM 2021-017 - IDESAM - PPBio Maués (11147-3),Luana Marinho Monteiro,Paulo Adelino de Medeiros,Doado,4574.0,2022-06-23,2025-12-10,050-2025
,2203.0,Máquina ou Equipamento,Painel S olar Fotovoltaico Resun RS M100P (100Wp);,1337.49,71.0,IFAM 2021-017 - IDESAM - PPBio Maués (11147-3),Luana Marinho Monteiro,Paulo Adelino de Medeiros,Doado,87817.0,2022-06-30,2025-12-10,050-2025
,2204.0,Máquina ou Equipamento,PAINEL SOLAR FOTOV. 550W 144M CSUN550 - 144M CSUN550-144M; CONECTOR FOTOVOLTAICO MC4 FEMEA+MACHO (PAR) T4 MC4 1000V T4 MC4 1000V;,2246.7,71.0,IFAM 2021-017 - IDESAM - PPBio Maués (11147-3),Luana Marinho Monteiro,Paulo Adelino de Medeiros,Doado,523068.0,2023-06-01,2025-12-10,050-2025
,2205.0,Máquina ou Equipamento,BATERIA ESTACIONARIA SOLAR 150AH;,2660.0,71.0,IFAM 2021-017 - IDESAM - PPBio Maués (11147-3),Luana Marinho Monteiro,Paulo Adelino de Medeiros,Doado,41074.0,2023-05-31,2025-12-10,050-2025
,2206.0,Máquina ou Equipamento,"CONTROLADOR PAINEL SOLAR CARGA USB DISPLAY
 LCD 30A PMW",261.5,71.0,IFAM 2021-017 - IDESAM - PPBio Maués (11147-3),Luana Marinho Monteiro,Paulo Adelino de Medeiros,Doado,1042216.0,2023-06-05,2025-12-10,050-2025
,2207.0,Máquina ou Equipamento,"INVERSOR SOLAR 1000W 12VDC/110VAC 60HZ PURA (MNN) IP1000-11 1000W; 
COD. BARRAS: 1545630001007",3060.0,71.0,IFAM 2021-017 - IDESAM - PPBio Maués (11147-3),Luana Marinho Monteiro,Paulo Adelino de Medeiros,Doado,524921.0,2023-06-12,2025-12-10,050-2025
,2208.0,Máquina ou Equipamento,"COMPRESSOR RADIAL 0,28KW | 0,38CV - MONOFASICO - JKW015",5629.02,71.0,IFAM 2021-017 - IDESAM - PPBio Maués (11147-3),Luana Marinho Monteiro,Paulo Adelino de Medeiros,Doado,675.0,2023-05-18,2025-12-10,050-2025
,2209.0,Máquina ou Equipamento,Multifuncional Epson EcoTank L3250 com wifi preta 100V/240V5,1349.0,71.0,IFAM 2021-017 - IDESAM - PPBio Maués (11147-3),Luana Marinho Monteiro,Paulo Adelino de Medeiros,Doado,906.0,2023-09-01,2025-12-10,050-2025
,2210.0,Máquina ou Equipamento,Máquina de solda inverter Intech Machine SMIB160 60Hz 110V/220V,999.0,71.0,IFAM 2021-017 - IDESAM - PPBio Maués (11147-3),Luana Marinho Monteiro,Paulo Adelino de Medeiros,Doado,30.0,2023-09-06,2025-12-10,050-2025
,,,,30542.27,,,,,,,,,
