Unnamed: 0,Nº Patrimônio,Produto,Descrição,Valor,Cód. Projeto,Projeto,Gestor,Coordenador,Situação,NF,Data Emissão da Nota,Data do Termo de Doação,Nº Termo de Doação
,2583.0,Máquina ou Equipamento,"Computador Dell Vostro Small Desktop Core i3-10100T RAM 8 GBSSD 256GB;
",3570.0,88.0,IFAM 2022-003 - FOXCONN.EMBRAPII - AI AGV (11380-8/11373-5),Alessandra Castro Rocha ,José Fábio de Lima Nascimento,Doado,362.0,2022-06-17,2025-12-12,054-2025
,2584.0,Máquina ou Equipamento,Notebook Avell A70 MOB 3060 i7-11800H RTX 3060 Black 165 Hz 16GB (2x8) NVME 500GB Windows 11 HSL;,9999.0,88.0,IFAM 2022-003 - FOXCONN.EMBRAPII - AI AGV (11380-8/11373-5),Alessandra Castro Rocha ,José Fábio de Lima Nascimento,Doado,38149.0,2022-06-20,2025-12-12,054-2025
,2585.0,Máquina ou Equipamento,CHASSI DO AGV E ESTRUTURA DO CARRO COM ROLETES,107035.69,88.0,IFAM 2022-003 - FOXCONN.EMBRAPII - AI AGV (11380-8/11373-5),Alessandra Castro Rocha ,José Fábio de Lima Nascimento,Doado,4269.0,2022-06-22,2025-12-12,054-2025
,2586.0,Máquina ou Equipamento,"Monitor 23.8"" Dell P2422H",1990.0,88.0,IFAM 2022-003 - FOXCONN.EMBRAPII - AI AGV (11380-8/11373-5),Alessandra Castro Rocha ,José Fábio de Lima Nascimento,Doado,362.0,2022-06-17,2025-12-12,054-2025
,2587.0,Máquina ou Equipamento,SCANNER DE SEGURANCA A LASER,15557.0,88.0,IFAM 2022-003 - FOXCONN.EMBRAPII - AI AGV (11380-8/11373-5),Alessandra Castro Rocha ,José Fábio de Lima Nascimento,Doado,83226.0,2022-06-14,2025-12-12,054-2025
,2588.0,Máquina ou Equipamento,CAMERA ORBBEC ASTRA PRO 3D,2905.55,88.0,IFAM 2022-003 - FOXCONN.EMBRAPII - AI AGV (11380-8/11373-5),Alessandra Castro Rocha ,José Fábio de Lima Nascimento,Doado,5914.0,2022-08-05,2025-12-12,054-2025
,2589.0,"Móveis e estrutura: Armários, cadeiras, bancadas, mesas, estantes, caixas metálicas, gaveteiros, suportes, sofá, poltrona, geladeira, fogão frigobar",RACK PRINCIPAL P/CLP Q 5 SLOTS ,796.58,88.0,IFAM 2022-003 - FOXCONN.EMBRAPII - AI AGV (11380-8/11373-5),Alessandra Castro Rocha ,José Fábio de Lima Nascimento,Doado,4881.0,2022-11-03,2025-12-12,054-2025
,2590.0,"Móveis e estrutura: Armários, cadeiras, bancadas, mesas, estantes, caixas metálicas, gaveteiros, suportes, sofá, poltrona, geladeira, fogão frigobar",RACK PRINCIPAL P/CLP Q 5 SLOTS ,796.58,88.0,IFAM 2022-003 - FOXCONN.EMBRAPII - AI AGV (11380-8/11373-5),Alessandra Castro Rocha ,José Fábio de Lima Nascimento,Doado,4881.0,2022-11-03,2025-12-12,054-2025
,2591.0,Máquina ou Equipamento,EASY SERVO MOTOR NEO-ES-M23440-ID ES-M / 4NM / NEMA 34 / EIXO 14MM / 2 FASES,843.81,88.0,IFAM 2022-003 - FOXCONN.EMBRAPII - AI AGV (11380-8/11373-5),Alessandra Castro Rocha ,José Fábio de Lima Nascimento,Doado,55494.0,2022-06-22,2025-12-12,054-2025
,2592.0,Máquina ou Equipamento,EASY SERVO MOTOR NEO-ES-M23440-ID ES-M / 4NM / NEMA 34 / EIXO 14MM / 2 FASES,843.8,88.0,IFAM 2022-003 - FOXCONN.EMBRAPII - AI AGV (11380-8/11373-5),Alessandra Castro Rocha ,José Fábio de Lima Nascimento,Doado,55494.0,2022-06-22,2025-12-12,054-2025
,2593.0,Máquina ou Equipamento,EASY SERVO MOTOR NEO-ES-M23440-ID ES-M / 4NM / NEMA 34 / EIXO 14MM / 2 FASES.,843.8,88.0,IFAM 2022-003 - FOXCONN.EMBRAPII - AI AGV (11380-8/11373-5),Alessandra Castro Rocha ,José Fábio de Lima Nascimento,Doado,55494.0,2022-06-22,2025-12-12,054-2025
,2594.0,Máquina ou Equipamento,EASY SERVO MOTOR NEO-ES-M23440-ID ES-M / 4NM / NEMA 34 / EIXO 14MM / 2 FASES.,843.8,88.0,IFAM 2022-003 - FOXCONN.EMBRAPII - AI AGV (11380-8/11373-5),Alessandra Castro Rocha ,José Fábio de Lima Nascimento,Doado,55494.0,2022-06-22,2025-12-12,054-2025
,2595.0,Máquina ou Equipamento,EASY SERVO DRIVER NEO-LS-ES-D808-ID ES-D / 4NM / 8NM / 12NM / PULSO / 24-75VDC,838.07,88.0,IFAM 2022-003 - FOXCONN.EMBRAPII - AI AGV (11380-8/11373-5),Alessandra Castro Rocha ,José Fábio de Lima Nascimento,Doado,55494.0,2022-06-22,2025-12-12,054-2025
