Unnamed: 0,Nº Patrimônio,Produto,Descrição,Valor,Cód. Projeto,Projeto,Gestor,Coordenador,Situação,NF,Data Emissão da Nota,Data do Termo de Doação,Nº Termo de Doação
,2664.0,Bomba de Vácuo ,"Bomba vácuo, material: alumínio fundido, vazão livre: 12cfm ou 340 l,min, tensão: 110,220 v, características adicionais: duplo estágio , capacidade de óleo 700ml, potência: 750 w, frequência: 60
hz",2232.1,93.0,IFAM 2022-006 - CALLIDUS - CT Eletrônica e Mecatrônica (11443-X), Jailson Paulino Cezar,Samirames da Silva Fleury,Doado,23.0,2022-06-24,2025-12-10,063-2025
,2665.0,Bomba de Vácuo ,"Bomba vácuo, material: alumínio fundido, vazão livre: 12cfm ou 340 l,min, tensão: 110,220 v, características adicionais: duplo estágio , capacidade de óleo 700ml, potência: 750 w, frequência: 60
hz",2232.1,93.0,IFAM 2022-006 - CALLIDUS - CT Eletrônica e Mecatrônica (11443-X), Jailson Paulino Cezar,Samirames da Silva Fleury,Doado,23.0,2022-06-24,2025-12-10,063-2025
,2666.0,Computador Notebook,"Notebook Samsung Book Intel I7 2.8GHz 8GB SSD 256GB 15.6"" LED FHD Windows 11 Home NP550XDA-KU1BR Cinza Samsung",4729.0,93.0,IFAM 2022-006 - CALLIDUS - CT Eletrônica e Mecatrônica (11443-X), Jailson Paulino Cezar,Samirames da Silva Fleury,Doado,251154.0,2022-06-24,2025-12-10,063-2025
,2667.0,Computador Notebook,"Notebook Samsung Book Intel I7 2.8GHz 8GB SSD 256GB 15.6"" LED FHD Windows 11 Home NP550XDA-KU1BR Cinza Samsung",4729.0,93.0,IFAM 2022-006 - CALLIDUS - CT Eletrônica e Mecatrônica (11443-X), Jailson Paulino Cezar,Samirames da Silva Fleury,Doado,251154.0,2022-06-24,2025-12-10,063-2025
,2668.0,Computador Notebook,"Notebook Samsung Book Intel I7 2.8GHz 8GB SSD 256GB 15.6"" LED FHD Windows 11 Home NP550XDA-KU1BR Cinza Samsung",4729.0,93.0,IFAM 2022-006 - CALLIDUS - CT Eletrônica e Mecatrônica (11443-X), Jailson Paulino Cezar,Samirames da Silva Fleury,Doado,251154.0,2022-06-24,2025-12-10,063-2025
,2669.0,Computador Notebook,"Notebook Samsung Book Intel I7 2.8GHz 8GB SSD 256GB 15.6"" LED FHD Windows 11 Home NP550XDA-KU1BR Cinza Samsung",4729.0,93.0,IFAM 2022-006 - CALLIDUS - CT Eletrônica e Mecatrônica (11443-X), Jailson Paulino Cezar,Samirames da Silva Fleury,Doado,251154.0,2022-06-24,2025-12-10,063-2025
,2670.0,Computador Notebook,"Notebook Samsung Book Intel I7 2.8GHz 8GB SSD 256GB 15.6"" LED FHD Windows 11 Home NP550XDA-KU1BR Cinza Samsung",4729.0,93.0,IFAM 2022-006 - CALLIDUS - CT Eletrônica e Mecatrônica (11443-X), Jailson Paulino Cezar,Samirames da Silva Fleury,Doado,251154.0,2022-06-24,2025-12-10,063-2025
,2671.0,Computador Notebook,"Notebook Samsung Book Intel I7 2.8GHz 8GB SSD 256GB 15.6"" LED FHD Windows 11 Home NP550XDA-KU1BR Cinza Samsung",4729.0,93.0,IFAM 2022-006 - CALLIDUS - CT Eletrônica e Mecatrônica (11443-X), Jailson Paulino Cezar,Samirames da Silva Fleury,Doado,251154.0,2022-06-24,2025-12-10,063-2025
,2672.0,Computador Notebook,"Notebook Samsung Book Intel I7 2.8GHz 8GB SSD 256GB 15.6"" LED FHD Windows 11 Home NP550XDA-KU1BR Cinza Samsung",4729.0,93.0,IFAM 2022-006 - CALLIDUS - CT Eletrônica e Mecatrônica (11443-X), Jailson Paulino Cezar,Samirames da Silva Fleury,Doado,251154.0,2022-06-24,2025-12-10,063-2025
,2673.0,Computador Notebook,"Notebook Samsung Book Intel I7 2.8GHz 8GB SSD 256GB 15.6"" LED FHD Windows 11 Home NP550XDA-KU1BR Cinza Samsung",4729.0,93.0,IFAM 2022-006 - CALLIDUS - CT Eletrônica e Mecatrônica (11443-X), Jailson Paulino Cezar,Samirames da Silva Fleury,Doado,251154.0,2022-06-24,2025-12-10,063-2025
