Unnamed: 0,Nº Patrimônio,Produto,Descrição,Valor,Cód. Projeto,Projeto,Gestor,Coordenador,Situação,NF,Data Emissão da Nota,Data do Termo de Doação,Nº Termo de Doação
,2715.0,Máquina ou Equipamento,Projetor Epson PowerLite E20,6840.0,94.0,IFAM 2022-008 - CALLIDUS - Automação Industrial (11418-9), Jailson Paulino Cezar,Juan Gabriel de Albuquerque Ramos,Doado,335.0,2022-05-30,2025-12-10,055-2025
,2716.0,Máquina ou Equipamento,SOFTWARE - LICENCA ACADEMICA DO LABVIEW PARA ENSIN,20000.0,94.0,IFAM 2022-008 - CALLIDUS - Automação Industrial (11418-9), Jailson Paulino Cezar,Juan Gabriel de Albuquerque Ramos,Doado,237.0,2022-06-22,2025-12-10,055-2025
,2717.0,Máquina ou Equipamento,Suporte de Teto Anti Furto Gaiola Preto,549.0,94.0,IFAM 2022-008 - CALLIDUS - Automação Industrial (11418-9), Jailson Paulino Cezar,Juan Gabriel de Albuquerque Ramos,Doado,387.0,2022-06-23,2025-12-10,055-2025
,2718.0,Máquina ou Equipamento,Suporte de Teto Anti Furto Gaiola Preto,549.0,94.0,IFAM 2022-008 - CALLIDUS - Automação Industrial (11418-9), Jailson Paulino Cezar,Juan Gabriel de Albuquerque Ramos,Doado,387.0,2022-06-23,2025-12-10,055-2025
,2719.0,Máquina ou Equipamento,Suporte de Teto Anti Furto Gaiola Preto,549.0,94.0,IFAM 2022-008 - CALLIDUS - Automação Industrial (11418-9), Jailson Paulino Cezar,Juan Gabriel de Albuquerque Ramos,Doado,387.0,2022-06-23,2025-12-10,055-2025
,2720.0,Máquina ou Equipamento,FONTE DE ALIMENTACAO DC REGULADA 4 DIGITOS,676.0,94.0,IFAM 2022-008 - CALLIDUS - Automação Industrial (11418-9), Jailson Paulino Cezar,Juan Gabriel de Albuquerque Ramos,Doado,106438.0,2022-06-14,2025-12-10,055-2025
,2721.0,Máquina ou Equipamento,PROJETOR SMART SCREEN MULTILASER PJ003 WIFI,1039.0,94.0,IFAM 2022-008 - CALLIDUS - Automação Industrial (11418-9), Jailson Paulino Cezar,Juan Gabriel de Albuquerque Ramos,Doado,47443.0,2022-07-14,2025-12-10,055-2025
,2722.0,Máquina ou Equipamento,PROJETOR SMART SCREEN MULTILASER PJ003 WIFI,1039.0,94.0,IFAM 2022-008 - CALLIDUS - Automação Industrial (11418-9), Jailson Paulino Cezar,Juan Gabriel de Albuquerque Ramos,Doado,47443.0,2022-07-14,2025-12-10,055-2025
,2723.0,Máquina ou Equipamento,PROJETOR SMART SCREEN MULTILASER PJ003 WIFI,1039.0,94.0,IFAM 2022-008 - CALLIDUS - Automação Industrial (11418-9), Jailson Paulino Cezar,Juan Gabriel de Albuquerque Ramos,Doado,47443.0,2022-07-14,2025-12-10,055-2025
,2724.0,Máquina ou Equipamento,PROJETOR SMART SCREEN MULTILASER PJ003 WIFI,1039.0,94.0,IFAM 2022-008 - CALLIDUS - Automação Industrial (11418-9), Jailson Paulino Cezar,Juan Gabriel de Albuquerque Ramos,Doado,47443.0,2022-07-14,2025-12-10,055-2025
,2725.0,Máquina ou Equipamento,Multifuncional EPSON L3250 CIICJ673 03 ECO WIFI (F),1199.0,94.0,IFAM 2022-008 - CALLIDUS - Automação Industrial (11418-9), Jailson Paulino Cezar,Juan Gabriel de Albuquerque Ramos,Doado,38881.0,2024-01-30,2025-12-10,055-2025
