Nº Patrimônio,Produto,Descrição,Valor,Cód. Projeto,Projeto,Gestor,Coordenador,Situação,NF,Data Emissão da Nota,Data do Termo de Doação,Nº Termo de Doação
2334.0,"Monitor 27""","Monitor LCD com retroiluminação LED / matriz ativa TFT . Dimensão diagonal 27""; Dispositivos Integrados Hub USB 3.2 Gen 1 / USB-C; Fornecimento de Energia USB 90 Watt Tipo de Painel IPS; Relação de Aspecto 16:9; Resolução Nativa 4K 3840 x 2160 a 60 Hz; Píxel por Polegada 163; Brilho 350 cd/m²; Relação de Contraste 1000:1 / 1000:1 (dinâmico) ; Suporte de Cor 1,07 bilhões de cores; Gama de Cores 99% sRGB; Tempo de resposta 8 ms (normal); 5 ms (rápido); Revestimento de Tela Anti-ofuscamento; Tecnologia de Retroiluminação; Luz posterior de LED; Recursos Sistema de iluminação de aresta LED, sem mercúrio, vidro sem arsênico, 3 faces sem moldura, Dell ComfortView Plus Dimensões (LxPxA) 61.16 cm x 18.5 cm x 53.52 cm - com apoio",3790.0,163.0,IFAM 2023-007 - ADATA (CV 005_2022) (12199-1),Evandro da Costa Dias Junior,SERGIO COSTA MARTINS DE ALENCAR,Doado,692.0,2023-03-30,2025-12-10,TERMO DE DOAÇÃO Nº. 089-2025
2335.0,Braço robótico ,"EPSON VT6L-A901SS ALL-IN-ONE STANDERTARD
TABLE TOP, CELLING OR WALL MOUNT 6-AXIS
ROBOT (WITH 5 METER CABLE), BUILT-IN CONTR
OLLER AND EPSON RC+ 7.X SOFTWARE. (MACHI
NE SPECIFICATIONS: 6 KG MAXIMUM PAYLOAD,
(RVT6LA901SS)",90173.14,163.0,IFAM 2023-007 - ADATA (CV 005_2022) (12199-1),Evandro da Costa Dias Junior,SERGIO COSTA MARTINS DE ALENCAR,Doado,43374.0,2023-03-30,2025-12-10,TERMO DE DOAÇÃO Nº. 089-2025
2336.0,Monitor LCD ,"Monitor LCD com retroiluminação LED / matriz ativa TFT . Dimensão diagonal 27""; Dispositivos Integrados Hub USB 3.2 Gen 1 / USB-C; Fornecimento de Energia USB 90 Watt Tipo de Painel IPS; Relação de Aspecto 16:9; Resolução Nativa 4K 3840 x 2160 a 60 Hz; Píxel por Polegada 163; Brilho 350 cd/m²; Relação de Contraste 1000:1 / 1000:1 (dinâmico) ; Suporte de Cor 1,07 bilhões de cores; Gama de Cores 99% sRGB; Tempo de resposta 8 ms (normal); 5 ms (rápido); Revestimento de Tela Anti-ofuscamento; Tecnologia de Retroiluminação; Luz posterior de LED; Recursos Sistema de iluminação de aresta LED, sem mercúrio, vidro sem arsênico, 3 faces sem moldura, Dell ComfortView Plus Dimensões (LxPxA) 61.16 cm x 18.5 cm x 53.52 cm - com apoio",3790.0,163.0,IFAM 2023-007 - ADATA (CV 005_2022) (12199-1),Evandro da Costa Dias Junior,SERGIO COSTA MARTINS DE ALENCAR,Doado,694.0,2023-03-30,2025-12-10,TERMO DE DOAÇÃO Nº. 089-2025
2337.0,Computador Notebook,"Notebook, tela de 15.6 pol; processador com 8 núcleos, 16
threads e frequência max 4.60 GHz; placa de vídeo dedicada
com suporte a Ray Tracing e memória de vídeo de pelo menos
6 GB GDDR6; unidade de armazenamento SSD M.2 NVME,
com pelo menos 512GB de capacidade; Sistema Operacional
Windows 11.",10360.0,163.0,IFAM 2023-007 - ADATA (CV 005_2022) (12199-1),Evandro da Costa Dias Junior,SERGIO COSTA MARTINS DE ALENCAR,Doado,2.0,2023-03-30,2025-12-10,TERMO DE DOAÇÃO Nº. 089-2025
2338.0,Computador Notebook,"Notebook, tela de 15.6 pol; processador com 8 núcleos, 16
threads e frequência max 4.60 GHz; placa de vídeo dedicada
com suporte a Ray Tracing e memória de vídeo de pelo menos
6 GB GDDR6; unidade de armazenamento SSD M.2 NVME,
com pelo menos 512GB de capacidade; Sistema Operacional
Windows 11.",10360.0,163.0,IFAM 2023-007 - ADATA (CV 005_2022) (12199-1),Evandro da Costa Dias Junior,SERGIO COSTA MARTINS DE ALENCAR,Doado,2.0,2023-03-30,2025-12-10,TERMO DE DOAÇÃO Nº. 089-2025
2339.0,Computador Notebook,"Notebook, tela de 15.6 pol; processador com 8 núcleos, 16
threads e frequência max 4.60 GHz; placa de vídeo dedicada
com suporte a Ray Tracing e memória de vídeo de pelo menos
6 GB GDDR6; unidade de armazenamento SSD M.2 NVME,
com pelo menos 512GB de capacidade; Sistema Operacional
Windows 11.",10360.0,163.0,IFAM 2023-007 - ADATA (CV 005_2022) (12199-1),Evandro da Costa Dias Junior,SERGIO COSTA MARTINS DE ALENCAR,Doado,2.0,2023-03-30,2025-12-10,TERMO DE DOAÇÃO Nº. 089-2025
2340.0,Computador Notebook,"Notebook, tela de 15.6 pol; processador com 8 núcleos, 16
threads e frequência max 4.60 GHz; placa de vídeo dedicada
com suporte a Ray Tracing e memória de vídeo de pelo menos
6 GB GDDR6; unidade de armazenamento SSD M.2 NVME,
com pelo menos 512GB de capacidade; Sistema Operacional
Windows 11.",10360.0,163.0,IFAM 2023-007 - ADATA (CV 005_2022) (12199-1),Evandro da Costa Dias Junior,SERGIO COSTA MARTINS DE ALENCAR,Doado,2.0,2023-03-30,2025-12-10,TERMO DE DOAÇÃO Nº. 089-2025
2341.0,Impressora Laser,"MARCADOR HÍBRIDO COM A COMBINAÇÃO DE
TECNOLOGIA YVO4 E FIBRA A LASER DE 3 EIXOS DE
VARREDURA (MD-X550A)",258831.51,163.0,IFAM 2023-007 - ADATA (CV 005_2022) (12199-1),Evandro da Costa Dias Junior,SERGIO COSTA MARTINS DE ALENCAR,Doado,101616.0,2023-05-12,2025-12-10,TERMO DE DOAÇÃO Nº. 089-2025
2342.0,Máquina diversas,"- CONTROLADOR LOGICO PROGRAMAVEL M241 40IO
- IHM OTIMIZADA COLORIDA 10WVGA SERIAL ETH 
- FONTE CHAV 85~264VAC/100~240VAC 24VCC 20A BAE0114",14505.49,163.0,IFAM 2023-007 - ADATA (CV 005_2022) (12199-1),Evandro da Costa Dias Junior,SERGIO COSTA MARTINS DE ALENCAR,Doado,17326.0,2023-10-04,2025-12-10,TERMO DE DOAÇÃO Nº. 089-2025
2343.0,COMPUTADOR INDUSTRIAL,"- BOX PC FANLESS
- PROCESSADOR INTEL CORE I7-8565U, 32GB 
RAM, 128GB SSD, 1XHDMI, 1XVGA, 6XCOM, 
2XRJ45, 2xPCIE
- ALIMENTAÇÃO 9 A 36V",14410.2,163.0,IFAM 2023-007 - ADATA (CV 005_2022) (12199-1),Evandro da Costa Dias Junior,SERGIO COSTA MARTINS DE ALENCAR,Doado,20.0,2023-10-25,2025-12-10,TERMO DE DOAÇÃO Nº. 089-2025
