Nº Patrimônio,Produto,Descrição,Valor,Cód. Projeto,Projeto,Gestor,Coordenador,Situação,NF,Data Emissão da Nota,Data do Termo de Doação,Nº Termo de Doação
2313.0,Computador Notebook,"Processador; 12ª geração Intel® Core™ i7-12700H (14-core, cache de 24MB 
até 4.7 GHz);Sistema operacional;Windows 11 Pro, Português;Placa de 
vídeo ;NVIDIA® GeForce RTX™ 3050 Ti, 4GB GDDR6; Tela Full HD+ de 16"" 
(1920 x 1200), 250nits, WVA Memória * Memória de 16GB DDR5 (1x 8GB 
soldada + 1x 8GB) 4800MHz; Expansível até 40GB; Armazenamento * SSD 
de 512GB PCIe NVMe M.2; Teclado Teclado retroiluminado em Português, 
com leitor de impressão digital Portas 2 portas USB 3.2 de 1ª geração; 1 
porta Thunderbolt™ 4 com DisplayPort™ e Power, Delivery ;1 entrada 
universal de headset ;1 porta HDMI 2.0; 1 porta para adaptador de energia; 
1 porta Ethernet RJ45 Slots; 1 slot de cartão SD Dimensões; Altura: 1,7 cm a 
1,9 cm; Largura: 35,68 cm; Profundidade: 25,19 cm; Peso inicial: 2,02 kg; 
Câmera; Câmera Full HD de 1080p a 30 fps; Microfones de array dual Áudio 
e alto-falantes; Alto-falantes estéreo duplos (tweeter + woofer), Realtek 
ALC1319D, 2 W x 2 = 4 W no total Chassi Material do chassi externo 
Alumínio Wireless * Placa de rede Intel® Killer™ Wi-Fi 6 1675 (AX211) 2x2 + 
Bluetooth 5.2 Bateria principal Bateria de 3 células e 55Whr (integrada) 
Energia AdaptadorCA 60 Watts Type-C (Bivolt).",8800,150.0,IFAM 2023-003 - TELLESCOM - ALL4QMS (12125-8),Letícia Paulliny Araújo do Nascimento,Laura Michaella Batista Ribeiro,Doado,51126.0,2023-03-20,2025-12-10,Termo de doação nº 092-2025
2314.0,Computador Notebook,"Processador; 12ª geração Intel® Core™ i7-12700H (14-core, cache de 24MB 
até 4.7 GHz);Sistema operacional;Windows 11 Pro, Português;Placa de 
vídeo ;NVIDIA® GeForce RTX™ 3050 Ti, 4GB GDDR6; Tela Full HD+ de 16"" 
(1920 x 1200), 250nits, WVA Memória * Memória de 16GB DDR5 (1x 8GB 
soldada + 1x 8GB) 4800MHz; Expansível até 40GB; Armazenamento * SSD 
de 512GB PCIe NVMe M.2; Teclado Teclado retroiluminado em Português, 
com leitor de impressão digital Portas 2 portas USB 3.2 de 1ª geração; 1 
porta Thunderbolt™ 4 com DisplayPort™ e Power, Delivery ;1 entrada 
universal de headset ;1 porta HDMI 2.0; 1 porta para adaptador de energia; 
1 porta Ethernet RJ45 Slots; 1 slot de cartão SD Dimensões; Altura: 1,7 cm a 
1,9 cm; Largura: 35,68 cm; Profundidade: 25,19 cm; Peso inicial: 2,02 kg; 
Câmera; Câmera Full HD de 1080p a 30 fps; Microfones de array dual Áudio 
e alto-falantes; Alto-falantes estéreo duplos (tweeter + woofer), Realtek 
ALC1319D, 2 W x 2 = 4 W no total Chassi Material do chassi externo 
Alumínio Wireless * Placa de rede Intel® Killer™ Wi-Fi 6 1675 (AX211) 2x2 + 
Bluetooth 5.2 Bateria principal Bateria de 3 células e 55Whr (integrada) 
Energia AdaptadorCA 60 Watts Type-C (Bivolt).",8800,150.0,IFAM 2023-003 - TELLESCOM - ALL4QMS (12125-8),Letícia Paulliny Araújo do Nascimento,Laura Michaella Batista Ribeiro,Doado,51126.0,2023-03-20,2025-12-10,Termo de doação nº 092-2025
2315.0,Computador Notebook,"Processador; 12ª geração Intel® Core™ i7-12700H (14-core, cache de
24MB até 4.7 GHz);Sistema operacional;Windows 11 Pro,
Português;Placa de vídeo ;NVIDIA® GeForce RTX™ 3050 Ti, 4GB
GDDR6; Tela Full HD+ de 16"" (1920 x 1200), 250nits, WVA Memória *
Memória de 16GB DDR5 (1x 8GB soldada + 1x 8GB) 4800MHz;
Expansível até 40GB; Armazenamento * SSD de 512GB PCIe NVMe
M.2; Teclado Teclado retroiluminado em Português, com leitor de
impressão digital Portas 2 portas USB 3.2 de 1ª geração; 1 porta
Thunderbolt™ 4 com DisplayPort™ e Power, Delivery ;1 entrada
universal de headset ;1 porta HDMI 2.0; 1 porta para adaptador de
energia; 1 porta Ethernet RJ45 Slots; 1 slot de cartão SD Dimensões;
Altura: 1,7 cm a 1,9 cm; Largura: 35,68 cm; Profundidade: 25,19 cm;
Peso inicial: 2,02 kg; Câmera; Câmera Full HD de 1080p a 30 fps;
Microfones de array dual Áudio e alto-falantes; Alto-falantes estéreo
duplos (tweeter + woofer), Realtek ALC1319D, 2 W x 2 = 4 W no total
Chassi Material do chassi externo Alumínio Wireless * Placa de rede
Intel® Killer™ Wi-Fi 6 1675 (AX211) 2x2 + Bluetooth 5.2 Bateria
principal Bateria de 3 células e 55Whr (integrada) Energia Adaptador
CA 60 Watts Type-C (Bivolt).",8800,150.0,IFAM 2023-003 - TELLESCOM - ALL4QMS (12125-8),Letícia Paulliny Araújo do Nascimento,Laura Michaella Batista Ribeiro,Doado,51129.0,2023-03-20,2025-12-10,Termo de doação nº 092-2025
2316.0,Computador Notebook,"Processador; 12ª geração Intel® Core™ i7-12700H (14-core, cache de
24MB até 4.7 GHz);Sistema operacional;Windows 11 Pro,
Português;Placa de vídeo ;NVIDIA® GeForce RTX™ 3050 Ti, 4GB
GDDR6; Tela Full HD+ de 16"" (1920 x 1200), 250nits, WVA Memória *
Memória de 16GB DDR5 (1x 8GB soldada + 1x 8GB) 4800MHz;
Expansível até 40GB; Armazenamento * SSD de 512GB PCIe NVMe
M.2; Teclado Teclado retroiluminado em Português, com leitor de
impressão digital Portas 2 portas USB 3.2 de 1ª geração; 1 porta
Thunderbolt™ 4 com DisplayPort™ e Power, Delivery ;1 entrada
universal de headset ;1 porta HDMI 2.0; 1 porta para adaptador de
energia; 1 porta Ethernet RJ45 Slots; 1 slot de cartão SD Dimensões;
Altura: 1,7 cm a 1,9 cm; Largura: 35,68 cm; Profundidade: 25,19 cm;
Peso inicial: 2,02 kg; Câmera; Câmera Full HD de 1080p a 30 fps;
Microfones de array dual Áudio e alto-falantes; Alto-falantes estéreo
duplos (tweeter + woofer), Realtek ALC1319D, 2 W x 2 = 4 W no total
Chassi Material do chassi externo Alumínio Wireless * Placa de rede
Intel® Killer™ Wi-Fi 6 1675 (AX211) 2x2 + Bluetooth 5.2 Bateria
principal Bateria de 3 células e 55Whr (integrada) Energia Adaptador
CA 60 Watts Type-C (Bivolt).",8800,150.0,IFAM 2023-003 - TELLESCOM - ALL4QMS (12125-8),Letícia Paulliny Araújo do Nascimento,Laura Michaella Batista Ribeiro,Doado,51129.0,2023-03-20,2025-12-10,Termo de doação nº 092-2025
2317.0,Computador Notebook,"Processador; 12ª geração Intel® Core™ i7-12700H (14-core, cache de
24MB até 4.7 GHz);Sistema operacional;Windows 11 Pro,
Português;Placa de vídeo ;NVIDIA® GeForce RTX™ 3050 Ti, 4GB
GDDR6; Tela Full HD+ de 16"" (1920 x 1200), 250nits, WVA Memória *
Memória de 16GB DDR5 (1x 8GB soldada + 1x 8GB) 4800MHz;
Expansível até 40GB; Armazenamento * SSD de 512GB PCIe NVMe
M.2; Teclado Teclado retroiluminado em Português, com leitor de
impressão digital Portas 2 portas USB 3.2 de 1ª geração; 1 porta
Thunderbolt™ 4 com DisplayPort™ e Power, Delivery ;1 entrada
universal de headset ;1 porta HDMI 2.0; 1 porta para adaptador de
energia; 1 porta Ethernet RJ45 Slots; 1 slot de cartão SD Dimensões;
Altura: 1,7 cm a 1,9 cm; Largura: 35,68 cm; Profundidade: 25,19 cm;
Peso inicial: 2,02 kg; Câmera; Câmera Full HD de 1080p a 30 fps;
Microfones de array dual Áudio e alto-falantes; Alto-falantes estéreo
duplos (tweeter + woofer), Realtek ALC1319D, 2 W x 2 = 4 W no total
Chassi Material do chassi externo Alumínio Wireless * Placa de rede
Intel® Killer™ Wi-Fi 6 1675 (AX211) 2x2 + Bluetooth 5.2 Bateria
principal Bateria de 3 células e 55Whr (integrada) Energia Adaptador
CA 60 Watts Type-C (Bivolt).",8800,150.0,IFAM 2023-003 - TELLESCOM - ALL4QMS (12125-8),Letícia Paulliny Araújo do Nascimento,Laura Michaella Batista Ribeiro,Doado,51129.0,2023-03-20,2025-12-10,Termo de doação nº 092-2025
2318.0,Monitor LCD ,"Monitor LCD com retroiluminação LED / matriz ativa TFT;
AMD FreeSync Premium Pro; USB 3.2 Gen 1 núcleo; 
WQHD 3440 x 1440 (DisplayPort: 144 Hz, HDMI: 100 Hz); 
Sistema de iluminação de aresta LED, sem mercúrio, 
vidro sem arsênico, compatível com HDR 400",4680,150.0,IFAM 2023-003 - TELLESCOM - ALL4QMS (12125-8),Letícia Paulliny Araújo do Nascimento,Laura Michaella Batista Ribeiro,Doado,1006.0,2023-03-21,2025-12-10,Termo de doação nº 092-2025
2319.0,Computador Notebook,"Modelo: MacBook Air; Referência: MLXY3BZ/A; 
Processador: Chip M2 da Apple, GPU de 8 núcleos, CPU de 
8 núcleos (4 de desempenho e 4 de eficiência) Neural 
Engine de 16 núcleos 100 GB/s de largura de banda da 
memória Armazenamento: SSD 256GB Memória: 8GB 
Câmera: FaceTime HD de 1080p Touch ID: Sensor Touch 
ID Liquid Retina Tela de 13,6 polegadas (na diagonal) 
retroiluminada por LED, com tecnologia IPS; 1 resolução 
nativa de 2560 x 1664 com 224 pixels por polegada e 
suporte a um bilhão de cores 500 nits de brilho Ampla 
tonalidade de cores (P3) Tecnologia True Tone Porta 
MagSafe 3 para recarga Entrada para fones de ouvido de 
3,5 mm Duas portas Thunderbolt / USB 4 compatíveis 
com:Recarga, DisplayPort, Thunderbolt 3 (até 40 
Gb/s) ,USB 4 (até 40 Gb/s) ,USB 3.1 Gen 2 (até 10 
Gb/s) Rede Wi-Fi 6 802.11ax Compatível com IEEE 
802.11a/b/g/n/ac Tecnologia Bluetooth 5.0 Até 18 horas 
de reprodução de vídeo no app Apple TV até 15 horas de 
navegação em rede sem fio Bateria de polímero de lítio de 
52,6 watts/hora Adaptador de energia USB-C de 30W 
(incluído na versão com chip M2 e GPU de 8 núcleos)
Adaptador de energia USB-C de 35W com duas portas 
(incluído na versão com chip M2, GPU de 10 núcleos e 512 
GB de armazenamento; com possibilidade de configuração 
na versão com chip M2 e GPU de 8 núcleos)Cabo de USB-C 
para MagSafe 3 Compatível com recarga rápida com 
adaptador de energia USB-C de 67W",13800,150.0,IFAM 2023-003 - TELLESCOM - ALL4QMS (12125-8),Letícia Paulliny Araújo do Nascimento,Laura Michaella Batista Ribeiro,Doado,1007.0,2023-03-21,2025-12-10,Termo de doação nº 092-2025
2320.0,Computador Notebook,"Modelo: MacBook Air; Referência: MLXY3BZ/A; 
Processador: Chip M2 da Apple, GPU de 8 núcleos, CPU de 
8 núcleos (4 de desempenho e 4 de eficiência) Neural 
Engine de 16 núcleos 100 GB/s de largura de banda da 
memória Armazenamento: SSD 256GB Memória: 8GB 
Câmera: FaceTime HD de 1080p Touch ID: Sensor Touch 
ID Liquid Retina Tela de 13,6 polegadas (na diagonal) 
retroiluminada por LED, com tecnologia IPS; 1 resolução 
nativa de 2560 x 1664 com 224 pixels por polegada e 
suporte a um bilhão de cores 500 nits de brilho Ampla 
tonalidade de cores (P3) Tecnologia True Tone Porta 
MagSafe 3 para recarga Entrada para fones de ouvido de 
3,5 mm Duas portas Thunderbolt / USB 4 compatíveis 
com:Recarga, DisplayPort, Thunderbolt 3 (até 40 
Gb/s) ,USB 4 (até 40 Gb/s) ,USB 3.1 Gen 2 (até 10 
Gb/s) Rede Wi-Fi 6 802.11ax Compatível com IEEE 
802.11a/b/g/n/ac Tecnologia Bluetooth 5.0 Até 18 horas 
de reprodução de vídeo no app Apple TV até 15 horas de 
navegação em rede sem fio Bateria de polímero de lítio de 
52,6 watts/hora Adaptador de energia USB-C de 30W 
(incluído na versão com chip M2 e GPU de 8 núcleos)
Adaptador de energia USB-C de 35W com duas portas 
(incluído na versão com chip M2, GPU de 10 núcleos e 512 
GB de armazenamento; com possibilidade de configuração 
na versão com chip M2 e GPU de 8 núcleos)Cabo de USB-C 
para MagSafe 3 Compatível com recarga rápida com 
adaptador de energia USB-C de 67W",13800,150.0,IFAM 2023-003 - TELLESCOM - ALL4QMS (12125-8),Letícia Paulliny Araújo do Nascimento,Laura Michaella Batista Ribeiro,Doado,1007.0,2023-03-21,2025-12-10,Termo de doação nº 092-2025
2321.0,"Monitor 27""","Monitor Gamer 27” G2723H LCD com retroiluminação 
LED / matriz ativa; Conector de alimentação | 2. Slot de 
trava de segurança (com base no Kensington Security 
Slot™) | 3. Porta HDMI 1.0 | 4. Trava de segurança do 
suporte | 5. Porta HDMI 2.0 | 6. DisplayPort | 7. Porta 
USB-B upstream | 8. Porta USB-B 3.2 upstream | 9. Porta 
USB-A 3.2 downstream | 10. Porta USB-A 3.2 
downstream (BC 1.2) | 11. Conector de fones de ouvido | 
12. Porta USB-A 3.2 downstream (BC 1.2); Cabo de 
alimentação | Cabo HDMI | Cabo DP | Cabo USB; 1. 
Altura (compactada): 393,85 mm / Altura (estendida): 
523,85 mm | 2. Largura: 611,60 mm | 3. Profundidade: 
200,30 mm; 1. Altura: 363,41 mm | 2. Largura: 611,60 
mm | 3. Profundidade: 66,27 mm; Altura (compactada): 
369,19 mm / Altura (estendida): 416,90 mm | Largura: 
275,90 mm | Profundidade: 200,30 mm;",3819,150.0,IFAM 2023-003 - TELLESCOM - ALL4QMS (12125-8),Letícia Paulliny Araújo do Nascimento,Laura Michaella Batista Ribeiro,Doado,669.0,2023-03-21,2025-12-10,Termo de doação nº 092-2025
2322.0,"Monitor 27""","Monitor Gamer 27” G2723H LCD com retroiluminação 
LED / matriz ativa; Conector de alimentação | 2. Slot de 
trava de segurança (com base no Kensington Security 
Slot™) | 3. Porta HDMI 1.0 | 4. Trava de segurança do 
suporte | 5. Porta HDMI 2.0 | 6. DisplayPort | 7. Porta 
USB-B upstream | 8. Porta USB-B 3.2 upstream | 9. Porta 
USB-A 3.2 downstream | 10. Porta USB-A 3.2 
downstream (BC 1.2) | 11. Conector de fones de ouvido | 
12. Porta USB-A 3.2 downstream (BC 1.2); Cabo de 
alimentação | Cabo HDMI | Cabo DP | Cabo USB; 1. 
Altura (compactada): 393,85 mm / Altura (estendida): 
523,85 mm | 2. Largura: 611,60 mm | 3. Profundidade: 
200,30 mm; 1. Altura: 363,41 mm | 2. Largura: 611,60 
mm | 3. Profundidade: 66,27 mm; Altura (compactada): 
369,19 mm / Altura (estendida): 416,90 mm | Largura: 
275,90 mm | Profundidade: 200,30 mm;",3819,150.0,IFAM 2023-003 - TELLESCOM - ALL4QMS (12125-8),Letícia Paulliny Araújo do Nascimento,Laura Michaella Batista Ribeiro,Doado,669.0,2023-03-21,2025-12-10,Termo de doação nº 092-2025
