Nº Patrimônio,Produto,Descrição,Valor,Cód. Projeto,Projeto,Gestor,Coordenador,Situação,NF,Data Emissão da Nota,Data do Termo de Doação,Nº Termo de Doação
2415.0,Computador Notebook,Notebooks: Configurações esperadas: Processador: I7 11800H; Placa de Video: RTX 3060; RAM: 16GB DDR4 3200mhz; Armazenamento: SSD 512GB m2 nvme; Tela: Full HD 144hz; Teclado: ABNT2.,8234.8,133.0,IFAM 2022-025 - LG - Capacitação Robótica (12095-2),Ana Carolina Góes Martins,Jeanne Moreira De Sousa,Doado,48793,2023-02-06 00:00:00,2025-12-10,TERMO DE DOAÇÃO Nº. 074-2025
2416.0,Computador Notebook,Notebooks: Configurações esperadas: Processador: I7 11800H; Placa de Video: RTX 3060; RAM: 16GB DDR4 3200mhz; Armazenamento: SSD 512GB m2 nvme; Tela: Full HD 144hz; Teclado: ABNT2.,8234.8,133.0,IFAM 2022-025 - LG - Capacitação Robótica (12095-2),Ana Carolina Góes Martins,Jeanne Moreira De Sousa,Doado,48793,2023-02-06 00:00:00,2025-12-10,TERMO DE DOAÇÃO Nº. 074-2025
2417.0,Computador Notebook,Notebooks: Configurações esperadas: Processador: I7 11800H; Placa de Video: RTX 3060; RAM: 16GB DDR4 3200mhz; Armazenamento: SSD 512GB m2 nvme; Tela: Full HD 144hz; Teclado: ABNT2.,8234.8,133.0,IFAM 2022-025 - LG - Capacitação Robótica (12095-2),Ana Carolina Góes Martins,Jeanne Moreira De Sousa,Doado,48793,2023-02-06 00:00:00,2025-12-10,TERMO DE DOAÇÃO Nº. 074-2025
2418.0,Computador Notebook,"Notebooks: Configurações esperadas: Processador: I7 11800H; Placa de Video: RTX 3060; RAM: 16GB DDR4 3200mhz; Armazenamento: SSD 512GB m2 nvme; Tela: Full HD 144hz; Teclado: ABNT2.
",8234.8,133.0,IFAM 2022-025 - LG - Capacitação Robótica (12095-2),Ana Carolina Góes Martins,Jeanne Moreira De Sousa,Doado,48793,2023-02-06 00:00:00,2025-12-10,TERMO DE DOAÇÃO Nº. 074-2025
2419.0,Computador Notebook,Notebooks: Configurações esperadas: Processador: I7 11800H; Placa de Video: RTX 3060; RAM: 16GB DDR4 3200mhz; Armazenamento: SSD 512GB m2 nvme; Tela: Full HD 144hz; Teclado: ABNT2.,8234.8,133.0,IFAM 2022-025 - LG - Capacitação Robótica (12095-2),Ana Carolina Góes Martins,Jeanne Moreira De Sousa,Doado,48793,2023-02-06 00:00:00,2025-12-10,TERMO DE DOAÇÃO Nº. 074-2025
2420.0,Computador Notebook,Notebooks: Configurações esperadas: Processador: I7 11800H; Placa de Video: RTX 3060; RAM: 16GB DDR4 3200mhz; Armazenamento: SSD 512GB m2 nvme; Tela: Full HD 144hz; Teclado: ABNT2.,8234.8,133.0,IFAM 2022-025 - LG - Capacitação Robótica (12095-2),Ana Carolina Góes Martins,Jeanne Moreira De Sousa,Doado,48793,2023-02-06 00:00:00,2025-12-10,TERMO DE DOAÇÃO Nº. 074-2025
2421.0,Computador Notebook,Notebooks: Configurações esperadas: Processador: I7 11800H; Placa de Video: RTX 3060; RAM: 16GB DDR4 3200mhz; Armazenamento: SSD 512GB m2 nvme; Tela: Full HD 144hz; Teclado: ABNT2.,8234.8,133.0,IFAM 2022-025 - LG - Capacitação Robótica (12095-2),Ana Carolina Góes Martins,Jeanne Moreira De Sousa,Doado,48793,2023-02-06 00:00:00,2025-12-10,TERMO DE DOAÇÃO Nº. 074-2025
2422.0,Computador Notebook,Notebooks: Configurações esperadas: Processador: I7 11800H; Placa de Video: RTX 3060; RAM: 16GB DDR4 3200mhz; Armazenamento: SSD 512GB m2 nvme; Tela: Full HD 144hz; Teclado: ABNT2.,8234.8,133.0,IFAM 2022-025 - LG - Capacitação Robótica (12095-2),Ana Carolina Góes Martins,Jeanne Moreira De Sousa,Doado,48793,2023-02-06 00:00:00,2025-12-10,TERMO DE DOAÇÃO Nº. 074-2025
2423.0,Computador Notebook,"Notebooks: Configurações esperadas: Processador: I7 11800H; Placa de Video: RTX 3060; RAM: 16GB DDR4 3200mhz; Armazenamento: SSD 512GB m2 nvme; Tela: Full HD 144hz; Teclado: ABNT2.
",8234.8,133.0,IFAM 2022-025 - LG - Capacitação Robótica (12095-2),Ana Carolina Góes Martins,Jeanne Moreira De Sousa,Doado,48793,2023-02-06 00:00:00,2025-12-10,TERMO DE DOAÇÃO Nº. 074-2025
2424.0,Computador Notebook,"Notebooks: Configurações esperadas: Processador: I7 11800H; Placa de Video: RTX 3060; RAM: 16GB DDR4 3200mhz; Armazenamento: SSD 512GB m2 nvme; Tela: Full HD 144hz; Teclado: ABNT2.
",8234.8,133.0,IFAM 2022-025 - LG - Capacitação Robótica (12095-2),Ana Carolina Góes Martins,Jeanne Moreira De Sousa,Doado,48793,2023-02-06 00:00:00,2025-12-10,TERMO DE DOAÇÃO Nº. 074-2025
