Nº Patrimônio,Produto,Descrição,Valor,Cód. Projeto,Projeto,Gestor,Coordenador,Situação,NF,Data Emissão da Nota,Data do Termo de Doação,Nº Termo de Doação
2248.0,Estação de Trabalho,"Estação de trabalho: Processador 10ª geração de Intel®
CoreTM i7-10700 (8-core, cache de 16MB, 2.9GHz até
4.8GHz), sistema operacional Windows 11, Placa de vídeo
Intel® UHD com memória gráfica compartilhada, memória
de 8GB (1x8GB), DDR4, 2933MHz, Expansível até 64GB (2
slots UDIMM), armazenamento SSD de 512GB PCle NVMe
M.2, teclado multimídia e mouse preto optico.
Monitor LCD com retroiluminação LED, Full HD (1080p)
1920 x 1080 a 60 Hz e tempo de resposta de 8ms",7790.0,111.0,IFAM 2022-016 - COELMATIC.EMBRAPII - IHMI ( 11766-8/11728-5),Ana Carolina Góes Martins,Marlos André Silva Rodrigues,Doado,373.0,2022-06-20,2025-12-10,Termo de doação nº 061-2025
2249.0,Computador Notebook,"Notebook: Processador 11ª geração de Intel® CoreTM i7-
11800H (cache de 24MB, até 4.6GHz); Memória de 16GB
(2x8GB), DDR4, 3200MHz, Expansível até 32GB; Placa de
vídeo NVIDIA® GeForce® RTXTM 8GB GDDR6;
Armazenamento: SSD de 1TB PCIe NVMe M.2.; Sistema
Operacional Windows 11 Pro - português (Brasil);
Tela HD DE 15.6” (1920 X 1080), 165 Hz, 3ms, com
ConfortView Plus.",11838.0,111.0,IFAM 2022-016 - COELMATIC.EMBRAPII - IHMI ( 11766-8/11728-5),Ana Carolina Góes Martins,Marlos André Silva Rodrigues,Doado,38148.0,2022-06-20,2025-12-10,Termo de doação nº 061-2025
2250.0,Computador Notebook,"Notebook: Processador 11ª geração de Intel® CoreTM i7-
11800H (cache de 24MB, até 4.6GHz); Memória de 16GB
(2x8GB), DDR4, 3200MHz, Expansível até 32GB; Placa de
vídeo NVIDIA® GeForce® RTXTM 8GB GDDR6;
Armazenamento: SSD de 1TB PCIe NVMe M.2.; Sistema
Operacional Windows 11 Pro - português (Brasil);
Tela HD DE 15.6” (1920 X 1080), 165 Hz, 3ms, com
ConfortView Plus.",11838.0,111.0,IFAM 2022-016 - COELMATIC.EMBRAPII - IHMI ( 11766-8/11728-5),Ana Carolina Góes Martins,Marlos André Silva Rodrigues,Doado,38148.0,2022-06-20,2025-12-10,Termo de doação nº 061-2025
2251.0,Computador Notebook,"Notebook: Processador 11ª geração de Intel® CoreTM i7-
11800H (cache de 24MB, até 4.6GHz); Memória de 16GB
(2x8GB), DDR4, 3200MHz, Expansível até 32GB; Placa de
vídeo NVIDIA® GeForce® RTXTM 8GB GDDR6;
Armazenamento: SSD de 1TB PCIe NVMe M.2.; Sistema
Operacional Windows 11 Pro - português (Brasil);
Tela HD DE 15.6” (1920 X 1080), 165 Hz, 3ms, com
ConfortView Plus.",11838.0,111.0,IFAM 2022-016 - COELMATIC.EMBRAPII - IHMI ( 11766-8/11728-5),Ana Carolina Góes Martins,Marlos André Silva Rodrigues,Doado,38148.0,2022-06-20,2025-12-10,Termo de doação nº 061-2025
2252.0,Computador Notebook,"Notebook: Processador 11ª geração de Intel® CoreTM i7-
11800H (cache de 24MB, até 4.6GHz); Memória de 16GB
(2x8GB), DDR4, 3200MHz, Expansível até 32GB; Placa de
vídeo NVIDIA® GeForce® RTXTM 8GB GDDR6;
Armazenamento: SSD de 1TB PCIe NVMe M.2.; Sistema
Operacional Windows 11 Pro - português (Brasil);
Tela HD DE 15.6” (1920 X 1080), 165 Hz, 3ms, com
ConfortView Plus.",11200.0,111.0,IFAM 2022-016 - COELMATIC.EMBRAPII - IHMI ( 11766-8/11728-5),Ana Carolina Góes Martins,Marlos André Silva Rodrigues,Doado,38289.0,2022-06-28,2025-12-10,Termo de doação nº 061-2025
2253.0,Computador Notebook,"Notebook: Processador 11ª geração de Intel® CoreTM i7-
11800H (cache de 24MB, até 4.6GHz); Memória de 16GB
(2x8GB), DDR4, 3200MHz, Expansível até 32GB; Placa de
vídeo NVIDIA® GeForce® RTXTM 8GB GDDR6;
Armazenamento: SSD de 1TB PCIe NVMe M.2.; Sistema
Operacional Windows 11 Pro - português (Brasil);
Tela HD DE 15.6” (1920 X 1080), 165 Hz, 3ms, com
ConfortView Plus.",11200.0,111.0,IFAM 2022-016 - COELMATIC.EMBRAPII - IHMI ( 11766-8/11728-5),Ana Carolina Góes Martins,Marlos André Silva Rodrigues,Doado,38289.0,2022-06-28,2025-12-10,Termo de doação nº 061-2025
2254.0,Computador Notebook,"Notebook: Processador 11ª geração de Intel® CoreTM i7-
11800H (cache de 24MB, até 4.6GHz); Memória de 16GB
(2x8GB), DDR4, 3200MHz, Expansível até 32GB; Placa de
vídeo NVIDIA® GeForce® RTXTM 8GB GDDR6;
Armazenamento: SSD de 1TB PCIe NVMe M.2.; Sistema
Operacional Windows 11 Pro - português (Brasil);
Tela HD DE 15.6” (1920 X 1080), 165 Hz, 3ms, com
ConfortView Plus.",11200.0,111.0,IFAM 2022-016 - COELMATIC.EMBRAPII - IHMI ( 11766-8/11728-5),Ana Carolina Góes Martins,Marlos André Silva Rodrigues,Doado,38289.0,2022-06-28,2025-12-10,Termo de doação nº 061-2025
2255.0,Computador Notebook,"Notebook: Processador 11ª geração de Intel® CoreTM i7-
11800H (cache de 24MB, até 4.6GHz); Memória de 16GB
(2x8GB), DDR4, 3200MHz, Expansível até 32GB; Placa de
vídeo NVIDIA® GeForce® RTXTM 8GB GDDR6;
Armazenamento: SSD de 1TB PCIe NVMe M.2.; Sistema
Operacional Windows 11 Pro - português (Brasil);
Tela HD DE 15.6” (1920 X 1080), 165 Hz, 3ms, com
ConfortView Plus.",11200.0,111.0,IFAM 2022-016 - COELMATIC.EMBRAPII - IHMI ( 11766-8/11728-5),Ana Carolina Góes Martins,Marlos André Silva Rodrigues,Doado,38289.0,2022-06-28,2025-12-10,Termo de doação nº 061-2025
2256.0,Computador Notebook,"Notebook: Processador 11ª geração de Intel® CoreTM i7-
11800H (cache de 24MB, até 4.6GHz); Memória de 16GB
(2x8GB), DDR4, 3200MHz, Expansível até 32GB; Placa de
vídeo NVIDIA® GeForce® RTXTM 8GB GDDR6;
Armazenamento: SSD de 1TB PCIe NVMe M.2.; Sistema
Operacional Windows 11 Pro - português (Brasil);
Tela HD DE 15.6” (1920 X 1080), 165 Hz, 3ms, com
ConfortView Plus.",11200.0,111.0,IFAM 2022-016 - COELMATIC.EMBRAPII - IHMI ( 11766-8/11728-5),Ana Carolina Góes Martins,Marlos André Silva Rodrigues,Doado,38289.0,2022-06-28,2025-12-10,Termo de doação nº 061-2025
2257.0,Luminária de mesa ,Luminária de mesa articulada led Ring Light 12W com aumento,264.0,111.0,IFAM 2022-016 - COELMATIC.EMBRAPII - IHMI ( 11766-8/11728-5),Ana Carolina Góes Martins,Marlos André Silva Rodrigues,Doado,9792.0,2022-10-05,2025-12-10,Termo de doação nº 061-2025
2258.0,Luminária de mesa ,Luminária de mesa articulada led Ring Light 12W com aumento,264.0,111.0,IFAM 2022-016 - COELMATIC.EMBRAPII - IHMI ( 11766-8/11728-5),Ana Carolina Góes Martins,Marlos André Silva Rodrigues,Doado,9792.0,2022-10-05,2025-12-10,Termo de doação nº 061-2025
2259.0,Microscópio,Microscópio lcd .5 pol/8x-1200x 1280*800 ajustável 1080p,1200.0,111.0,IFAM 2022-016 - COELMATIC.EMBRAPII - IHMI ( 11766-8/11728-5),Ana Carolina Góes Martins,Marlos André Silva Rodrigues,Doado,6694.0,2022-10-28,2025-12-10,Termo de doação nº 061-2025
2260.0,Estação de solda ,Estação de solda e retrabalho Ar quente 902+ 220V,498.33,111.0,IFAM 2022-016 - COELMATIC.EMBRAPII - IHMI ( 11766-8/11728-5),Ana Carolina Góes Martins,Marlos André Silva Rodrigues,Doado,45963.0,2022-11-28,2025-12-10,Termo de doação nº 061-2025
2261.0,IMPRESSORA 3D,"Impressora 3D
Especificações técnicasVolume de construção: 256 x 256 x 256 mm, Velocidade máxima de
impressão: 500 mm/s, Aceleração máxima: 20.000 mm/s², Temperatura máxima do hotend:
300 ºC, Temperatura máxima da cama: 100 ºC, Material de impressão: PLA, PETG, ABS, ASA,
PVA, PET, PA e PC, Câmera integrada para monitoramento remotoe time-lapse, Nivelamento
automático da base, Compensação de vibração, Avanço da pressão, Módulo de alimentação
de filamento multi-material, Corpo fechado para impressão de materiais de alta
temperatura, 3 fusos e 3 guias lineares.",12549.5,111.0,IFAM 2022-016 - COELMATIC.EMBRAPII - IHMI ( 11766-8/11728-5),Ana Carolina Góes Martins,Marlos André Silva Rodrigues,Doado,50.0,2024-08-08,2025-12-10,Termo de doação nº 061-2025
,,,114079.83,,,,,,,,,
