Nº Patrimônio,Produto,Descrição,Valor,Cód. Projeto,Projeto,Gestor,Coordenador,Situação,NF,Data Emissão da Nota,Data do Termo de Doação,Nº Termo de Doação
2985.0,Escada,"ESCADA MULTIFUNCIONAL 4X4 COM 16 
DEGRAUS - Escada em aço e alumínio articulada, com 
catracas; multifuncional 4x4; 16 degraus; com 4 partes de 
4 degraus, alcançando no mínimo 4,50 m quando 
totalmente estendida; capacidade de suporte até 150 kg; 
sapatas em borracha; totalmente dobrável; travamento 
automático na extensão Referência: Similar ou de melhor 
qualidade: FORTGPRO-FG8410",1599.0,168.0,IFAM 2023-008 - Reitoria -  Qualifica Mais Energif  2023 (12377-3),Cássia Vilaça de Almeida,Marisol Elias de Barros Plácido,Doado,32.0,2023-10-03,2025-12-10,TERMO DE DOAÇÃO Nº. 004/2025
2986.0,Controlador da Carga solar,"Controlador de carga solar 
 Controlador de Carga PWM de baterias 12/24V.(automático), 1MPPT, corrente de carga 40A, tensão máxima do sistema 
fotovoltaico 100 V",1200.0,168.0,IFAM 2023-008 - Reitoria -  Qualifica Mais Energif  2023 (12377-3),Cássia Vilaça de Almeida,Marisol Elias de Barros Plácido,Doado,548646.0,2023-10-10,2025-12-10,TERMO DE DOAÇÃO Nº. 004/2025
2987.0,Controlador da Carga solar,"Controlador de carga solar 
 Controlador de Carga PWM de baterias 12/24V.(automático), 1MPPT, corrente de carga 40A, tensão máxima do sistema 
fotovoltaico 100 V",1200.0,168.0,IFAM 2023-008 - Reitoria -  Qualifica Mais Energif  2023 (12377-3),Cássia Vilaça de Almeida,Marisol Elias de Barros Plácido,Doado,548646.0,2023-10-10,2025-12-10,TERMO DE DOAÇÃO Nº. 004/2025
2988.0,Controlador da Carga solar," Controlador de carga: Funciona em 12V com detecção automática. 
Algoritmo de carga da bateria por PWM (Pulse Width Modulation) de alta eficiência. Corrente máxima de 20A~30A. Parâmetros pré_x0002_ajustáveis para baterias: selada, gel ou ventilada. Compensação de temperatura. Indicadores LED para estado de carga das baterias. 
Grau de proteção IP30. Permita conexão de condutores de até 35mm², garantia do fornecedor de até 5 anos, possua certificações em conformidade com CE e NEC, fornecido com manual de instalação e de configuração
",417.65,168.0,IFAM 2023-008 - Reitoria -  Qualifica Mais Energif  2023 (12377-3),Cássia Vilaça de Almeida,Marisol Elias de Barros Plácido,Doado,548646.0,2023-10-10,2025-12-10,TERMO DE DOAÇÃO Nº. 004/2025
2989.0,Marreta,"Marreta com cabeça forjada e temperada em aço carbono 
especial, garantindo grande resistência ao produto, possui 
acabamento jateado e envernizada, perfeito 
balanceamento entre cabeça e cabo para aumentar o 
conforto e a segurança do usuário. Cabo em madeira 
envernizada fixado com cunha metálica ajuda a aumentar 
a segurança do usuário. Aplicações: indicada para 
execução de trabalhos pesados, utilizada para quebrar 
pedras e concretos. Comprimento mínimo da cabeça: 
175mm. Comprimento mínimo total: 900mm. Diâmetro 
mínimo do batente: 60mm. Peso mínimo: 5Kg",297.88,168.0,IFAM 2023-008 - Reitoria -  Qualifica Mais Energif  2023 (12377-3),Cássia Vilaça de Almeida,Marisol Elias de Barros Plácido,Doado,45719.0,2023-10-30,2025-12-10,TERMO DE DOAÇÃO Nº. 004/2025
2990.0,Furadeira e Parafusadeira ,"Parafusadeira e Furadeira de Impacto de ½"", bateria 18V e 
carregador bivolt. Torque Máx. (Nm) 54, NP de rotações 
(sem carga) rpm Mínimo e Máximo 0-450/1700, Diâmetro 
max. Perfuração concreto (mm) 10, Diâmetro max. 
Perfuração madeira (mm) 35, Diâmetro max. Perfuração 
aço (mm) 10 ",1078.44,168.0,IFAM 2023-008 - Reitoria -  Qualifica Mais Energif  2023 (12377-3),Cássia Vilaça de Almeida,Marisol Elias de Barros Plácido,Doado,45719.0,2023-10-30,2025-12-10,TERMO DE DOAÇÃO Nº. 004/2025
2991.0,Furadeira e Parafusadeira ,"Parafusadeira e Furadeira de Impacto de ½"", bateria 18V e 
carregador bivolt. Torque Máx. (Nm) 54, NP de rotações 
(sem carga) rpm Mínimo e Máximo 0-450/1700, Diâmetro 
max. Perfuração concreto (mm) 10, Diâmetro max. 
Perfuração madeira (mm) 35, Diâmetro max. Perfuração 
aço (mm) 10 ",1078.44,168.0,IFAM 2023-008 - Reitoria -  Qualifica Mais Energif  2023 (12377-3),Cássia Vilaça de Almeida,Marisol Elias de Barros Plácido,Doado,45719.0,2023-10-30,2025-12-10,TERMO DE DOAÇÃO Nº. 004/2025
2992.0,Painel Solar,"Painel Solar de filme fino - potência aproximada de 40W: Módulo solar fotovoltaico de silício amorfo (filme fino) de 40Wp, tensão no ponto de máxima potência mínima de 48V, corrente no ponto de máxima potência mínima de 0,83 A.
Outros valores podem ser admitidos sob consulta.
pode ser com potências menores - sob consulta.
pode ser flexível, OPV ou CIGIS.
pode ser conjunto de módulos OU conjunto de células com potencias menores - sob consulta.",890.0,168.0,IFAM 2023-008 - Reitoria -  Qualifica Mais Energif  2023 (12377-3),Cássia Vilaça de Almeida,Marisol Elias de Barros Plácido,Doado,1246.0,2023-11-06,2025-12-10,TERMO DE DOAÇÃO Nº. 004/2025
2993.0,Painel Solar,"Painel Solar
Painel fotovoltaico poli-cristalino, tensão nominal entre 12-
17V com potência nominal entre 10 e 60 Wp (nas 
condições padrão STC: 1000W/m², 25°C e AM1,5g), 
eficiência do painel no mínimo de 15%, coeficiente de 
temperatura da potência de máxima potência no máximo -
0,45 %/°C, Com caixa de junção. Vidro de alta 
transmissividade, com baixo teor de ferro.",499.0,168.0,IFAM 2023-008 - Reitoria -  Qualifica Mais Energif  2023 (12377-3),Cássia Vilaça de Almeida,Marisol Elias de Barros Plácido,Doado,997.0,2023-11-16,2025-12-10,TERMO DE DOAÇÃO Nº. 004/2025
2994.0,Painel Solar,"Painel Solar
Painel fotovoltaico poli-cristalino, tensão nominal entre 12-
17V com potência nominal entre 10 e 60 Wp (nas 
condições padrão STC: 1000W/m², 25°C e AM1,5g), 
eficiência do painel no mínimo de 15%, coeficiente de 
temperatura da potência de máxima potência no máximo -
0,45 %/°C, Com caixa de junção. Vidro de alta 
transmissividade, com baixo teor de ferro.",499.0,168.0,IFAM 2023-008 - Reitoria -  Qualifica Mais Energif  2023 (12377-3),Cássia Vilaça de Almeida,Marisol Elias de Barros Plácido,Doado,997.0,2023-11-16,2025-12-10,TERMO DE DOAÇÃO Nº. 004/2025
