Nº Patrimônio,Produto,Descrição,Valor,Cód. Projeto,Projeto,Gestor,Coordenador,Situação,NF,Data Emissão da Nota,Data do Termo de Doação,Nº Termo de Doação
2608.0,Computador Notebook,"Notebook, tela de 15.6 pol; processador com 14 núcleos, 20
threads e frequência max 4.70 GHz; placa de vídeo dedicada
com suporte a Ray Tracing e memória de vídeo dedicada de
pelo menos 8 GB GDDR6; unidade de armazenamento SSD
M.2 NVME, com 1TB de capacidade; Sistema Operacional
Windows 11.",13650.0,151.0,IFAM 2023-004 - TELLESCOM.EMBRAPII - ERGO SALUS (12123-1) conta empresa,Evandro da Costa Dias Junior,Micíla Sumária Medeiros Pereira,Doado,50888.0,2023-03-15,2025-12-10,Termo de doação nº 086-2025
2609.0,Tablet ,"Tablet, sistema operacional android 11, Dimensões: 284.8 x
185 x 6.3 mm, 12.4 polegadas de tela touchscreen, 128gb de
memória, 6BG de memória RAM, câmera 8 Mp, resolução da
câmera 3266 x 2449 pixel, wifi 4G
",4499.0,151.0,IFAM 2023-004 - TELLESCOM.EMBRAPII - ERGO SALUS (12123-1) conta empresa,Evandro da Costa Dias Junior,Micíla Sumária Medeiros Pereira,Doado,659.0,2023-03-16,2025-12-10,Termo de doação nº 086-2025
2610.0,Tablet ,"Tablet, sistema operacional android 11, Dimensões: 284.8 x
185 x 6.3 mm, 12.4 polegadas de tela touchscreen, 128gb de
memória, 6BG de memória RAM, câmera 8 Mp, resolução da
câmera 3266 x 2449 pixel, wifi 4G
",4499.0,151.0,IFAM 2023-004 - TELLESCOM.EMBRAPII - ERGO SALUS (12123-1) conta empresa,Evandro da Costa Dias Junior,Micíla Sumária Medeiros Pereira,Doado,659.0,2023-03-16,2025-12-10,Termo de doação nº 086-2025
2611.0,Computador Notebook,"Notebook, tela de 15.6 pol; processador com 14 núcleos, 20
threads e frequência max 4.70 GHz; placa de vídeo dedicada
com suporte a Ray Tracing e memória de vídeo dedicada de
pelo menos 8 GB GDDR6; unidade de armazenamento SSD
M.2 NVME, com 1TB de capacidade; Sistema Operacional
Windows 11.",13650.0,151.0,IFAM 2023-004 - TELLESCOM.EMBRAPII - ERGO SALUS (12123-1) conta empresa,Evandro da Costa Dias Junior,Micíla Sumária Medeiros Pereira,Doado,50934.0,2023-03-16,2025-12-10,Termo de doação nº 086-2025
2612.0,Computador Notebook,"Notebook, tela de 15.6 pol; processador com 14 núcleos, 20
threads e frequência max 4.70 GHz; placa de vídeo dedicada
com suporte a Ray Tracing e memória de vídeo dedicada de
pelo menos 8 GB GDDR6; unidade de armazenamento SSD
M.2 NVME, com 1TB de capacidade; Sistema Operacional
Windows 11.",13650.0,151.0,IFAM 2023-004 - TELLESCOM.EMBRAPII - ERGO SALUS (12123-1) conta empresa,Evandro da Costa Dias Junior,Micíla Sumária Medeiros Pereira,Doado,50934.0,2023-03-16,2025-12-10,Termo de doação nº 086-2025
2613.0,Computador Notebook,"Notebook, tela de 15.6 pol; processador com 14 núcleos, 20
threads e frequência max 4.70 GHz; placa de vídeo dedicada
com suporte a Ray Tracing e memória de vídeo dedicada de
pelo menos 8 GB GDDR6; unidade de armazenamento SSD
M.2 NVME, com 1TB de capacidade; Sistema Operacional
Windows 11.",13650.0,151.0,IFAM 2023-004 - TELLESCOM.EMBRAPII - ERGO SALUS (12123-1) conta empresa,Evandro da Costa Dias Junior,Micíla Sumária Medeiros Pereira,Doado,50873.0,2023-03-15,2025-12-10,Termo de doação nº 086-2025
2614.0,Computador Notebook,"Notebook, tela de 15.6 pol; processador com 14 núcleos, 20
threads e frequência max 4.70 GHz; placa de vídeo dedicada
com suporte a Ray Tracing e memória de vídeo dedicada de
pelo menos 8 GB GDDR6; unidade de armazenamento SSD
M.2 NVME, com 1TB de capacidade; Sistema Operacional
Windows 11.",13650.0,151.0,IFAM 2023-004 - TELLESCOM.EMBRAPII - ERGO SALUS (12123-1) conta empresa,Evandro da Costa Dias Junior,Micíla Sumária Medeiros Pereira,Doado,50873.0,2023-03-15,2025-12-10,Termo de doação nº 086-2025
2615.0,Computador Desktop,"Computador desktop, com monitor, teclado e mouse,
Sistema Operacional Windows 11, processador com 12
núcleos, 20 threads, 16GB de memória, Unidade de Estado
Sólido SSD de 256GB, HD de 1TB, Placa de vídeo dedicada
com 12 GB GDDR6 e suporte a Ray Tracing.",10927.0,151.0,IFAM 2023-004 - TELLESCOM.EMBRAPII - ERGO SALUS (12123-1) conta empresa,Evandro da Costa Dias Junior,Micíla Sumária Medeiros Pereira,Doado,664.0,2023-03-20,2025-12-10,Termo de doação nº 086-2025
2616.0,Computador Desktop,"Computador desktop, com monitor, teclado e mouse,
Sistema Operacional Windows 11, processador com 12
núcleos, 20 threads, 16GB de memória, Unidade de Estado
Sólido SSD de 256GB, HD de 1TB, Placa de vídeo dedicada
com 12 GB GDDR6 e suporte a Ray Tracing.",10927.0,151.0,IFAM 2023-004 - TELLESCOM.EMBRAPII - ERGO SALUS (12123-1) conta empresa,Evandro da Costa Dias Junior,Micíla Sumária Medeiros Pereira,Doado,664.0,2023-03-20,2025-12-10,Termo de doação nº 086-2025
2617.0,Computador Desktop,"Computador desktop, com monitor, teclado e mouse,
Sistema Operacional Windows 11, processador com 12
núcleos, 20 threads, 16GB de memória, Unidade de Estado
Sólido SSD de 256GB, HD de 1TB, Placa de vídeo dedicada
com 12 GB GDDR6 e suporte a Ray Tracing.",10927.0,151.0,IFAM 2023-004 - TELLESCOM.EMBRAPII - ERGO SALUS (12123-1) conta empresa,Evandro da Costa Dias Junior,Micíla Sumária Medeiros Pereira,Doado,664.0,2023-03-20,2025-12-10,Termo de doação nº 086-2025
