Nº Patrimônio,Produto,Descrição,Valor,Cód. Projeto,Projeto,Gestor,Coordenador,Situação,NF,Data Emissão da Nota,Data do Termo de Doação,Nº Termo de Doação
2968.0, Nobreak,"Nobreak: 1200VA,bivolt,saída110V, 04 tomadas de saída (tripolar).",649.0,165.0,IFAM 2022-029 - IFAM_Reitoria - Maloca Acessível (12.126-6),Dheine Ceslin Passos Campos,Dalmir Pacheco de Souza,Doado,26224.0,2023-09-06,2025-12-10,TERMO DE DOAÇÃO Nº. 003/2025
2969.0, Nobreak,"Nobreak: 1200VA,bivolt,saída110V, 04 tomadas de saída (tripolar).",649.0,165.0,IFAM 2022-029 - IFAM_Reitoria - Maloca Acessível (12.126-6),Dheine Ceslin Passos Campos,Dalmir Pacheco de Souza,Doado,26224.0,2023-09-06,2025-12-10,TERMO DE DOAÇÃO Nº. 003/2025
2970.0,Microfone ,"Microfone dinâmico USB/XLR Podcast, kit de microfone de estúdio com controle de volume, suporte de choque, filtro pop, ideal para vocal, gravação de instrumentos, locução, transmissão ao vivo (HD300T) 
",570.0,165.0,IFAM 2022-029 - IFAM_Reitoria - Maloca Acessível (12.126-6),Dheine Ceslin Passos Campos,Dalmir Pacheco de Souza,Doado,68532.0,2023-09-09,2025-12-10,TERMO DE DOAÇÃO Nº. 003/2025
2971.0,Tripé para Câmera,"Tripé de vídeo profissional de 72 polegadas, tripé de tubo de alumínio resistente com cabeça fluida, capacidade máxima de carregamento de 8 kg/17,6 libras para filmadoras  e câmera VA18+ VH081",365.0,165.0,IFAM 2022-029 - IFAM_Reitoria - Maloca Acessível (12.126-6),Dheine Ceslin Passos Campos,Dalmir Pacheco de Souza,Doado,68532.0,2023-09-09,2025-12-10,TERMO DE DOAÇÃO Nº. 003/2025
2972.0,Tablet ,"Tablet: 4G 10.5"", 64GB/4GB Cam 8MP Frontal 5MP Octa-Core SM-X205NZAUZTO Grafite ",1349.9,165.0,IFAM 2022-029 - IFAM_Reitoria - Maloca Acessível (12.126-6),Dheine Ceslin Passos Campos,Dalmir Pacheco de Souza,Doado,76.0,2023-09-14,2025-12-10,TERMO DE DOAÇÃO Nº. 003/2025
2973.0,Tablet ,"Tablet: 4G 10.5"", 64GB/4GB Cam 8MP Frontal 5MP Octa-Core SM-X205NZAUZTO Grafite ",1349.9,165.0,IFAM 2022-029 - IFAM_Reitoria - Maloca Acessível (12.126-6),Dheine Ceslin Passos Campos,Dalmir Pacheco de Souza,Doado,76.0,2023-09-14,2025-12-10,TERMO DE DOAÇÃO Nº. 003/2025
2974.0,Computador Desktop,"Computador de mesa : processor 12ª geração Intel® Core™ i7-1255U (10-core, 12-thread, cache de 12MB, até 4.7GHz) laptop Windows 11 Home, Português, ( Technologies recomenda o Windows 11 Pro para empresas) videocard, Intel® Iris® Xe com memória gráfica compartilhada, Memória de 16GB DDR4 (2x8GB) 3200MHz; Expansível até 64GB (2 slots SoDIMM) harddrive,  SSD de 512GB PCIe NVMe M.2
",5360.0,165.0,IFAM 2022-029 - IFAM_Reitoria - Maloca Acessível (12.126-6),Dheine Ceslin Passos Campos,Dalmir Pacheco de Souza,Doado,58748.0,2023-09-14,2025-12-10,TERMO DE DOAÇÃO Nº. 003/2025
2975.0,Computador Desktop,"Computador de mesa : processor 12ª geração Intel® Core™ i7-1255U (10-core, 12-thread, cache de 12MB, até 4.7GHz) laptop Windows 11 Home, Português, ( Technologies recomenda o Windows 11 Pro para empresas) videocard, Intel® Iris® Xe com memória gráfica compartilhada, Memória de 16GB DDR4 (2x8GB) 3200MHz; Expansível até 64GB (2 slots SoDIMM) harddrive,  SSD de 512GB PCIe NVMe M.2
",5360.0,165.0,IFAM 2022-029 - IFAM_Reitoria - Maloca Acessível (12.126-6),Dheine Ceslin Passos Campos,Dalmir Pacheco de Souza,Doado,58748.0,2023-09-14,2025-12-10,TERMO DE DOAÇÃO Nº. 003/2025
2976.0,Câmera Filmadora Digital Profissional,"Camera: funções personalizadas com 33 definições ajustáveis com a câmera, Cena Automática Inteligente e Estilo de Imagem Automático Compatível com a linha completa de lentes EF/EF-S e flashes Speedlite, Gravação simultânea em RAW + JPEG, Live View Mode,Correção da iluminação periférica Impressão direta compatível com impressoras que possuem Pict Bridge. Durante o disparo no modo de Visualização Direta, as cenas podem ser visualizadas nas taxas de proporção pré-definidas: 4: 3, 1: 1 16: 9 ou 3: 2. Compatível com USB 2. 0 Hi-Speed, Filtros Criativos 
",4590.0,165.0,IFAM 2022-029 - IFAM_Reitoria - Maloca Acessível (12.126-6),Dheine Ceslin Passos Campos,Dalmir Pacheco de Souza,Doado,920.0,2023-09-19,2025-12-10,TERMO DE DOAÇÃO Nº. 003/2025
2977.0,Câmera Filmadora Digital Profissional,"Camera: funções personalizadas com 33 definições ajustáveis com a câmera, Cena Automática Inteligente e Estilo de Imagem Automático Compatível com a linha completa de lentes EF/EF-S e flashes Speedlite, Gravação simultânea em RAW + JPEG, Live View Mode,Correção da iluminação periférica Impressão direta compatível com impressoras que possuem Pict Bridge. Durante o disparo no modo de Visualização Direta, as cenas podem ser visualizadas nas taxas de proporção pré-definidas: 4: 3, 1: 1 16: 9 ou 3: 2. Compatível com USB 2. 0 Hi-Speed, Filtros Criativos 
",4590.0,165.0,IFAM 2022-029 - IFAM_Reitoria - Maloca Acessível (12.126-6),Dheine Ceslin Passos Campos,Dalmir Pacheco de Souza,Doado,920.0,2023-09-19,2025-12-10,TERMO DE DOAÇÃO Nº. 003/2025
2978.0,HD,"Capacidade: 1TB. Interface: USB 3.0. Rotação: 5400 RPM. Buffer: Não especificado. Taxa Máxima de Transferência: até 4,8 Gbps (USB 3.0). Compatibilidade: Sistema operacional Windows XP SP3, Windows Vista, Windows 7, Windows 8 ou superior ",215.0,165.0,IFAM 2022-029 - IFAM_Reitoria - Maloca Acessível (12.126-6),Dheine Ceslin Passos Campos,Dalmir Pacheco de Souza,Doado,25.0,2023-10-26,2025-12-10,TERMO DE DOAÇÃO Nº. 003/2025
2979.0,HD,"Capacidade: 1TB. Interface: USB 3.0. Rotação: 5400 RPM. Buffer: Não especificado. Taxa Máxima de Transferência: até 4,8 Gbps (USB 3.0). Compatibilidade: Sistema operacional Windows XP SP3, Windows Vista, Windows 7, Windows 8 ou superior ",215.0,165.0,IFAM 2022-029 - IFAM_Reitoria - Maloca Acessível (12.126-6),Dheine Ceslin Passos Campos,Dalmir Pacheco de Souza,Doado,25.0,2023-10-26,2025-12-10,TERMO DE DOAÇÃO Nº. 003/2025
2980.0,HD,"Capacidade: 1TB. Interface: USB 3.0. Rotação: 5400 RPM. Buffer: Não especificado. Taxa Máxima de Transferência: até 4,8 Gbps (USB 3.0). Compatibilidade: Sistema operacional Windows XP SP3, Windows Vista, Windows 7, Windows 8 ou superior ",215.0,165.0,IFAM 2022-029 - IFAM_Reitoria - Maloca Acessível (12.126-6),Dheine Ceslin Passos Campos,Dalmir Pacheco de Souza,Doado,25.0,2023-10-26,2025-12-10,TERMO DE DOAÇÃO Nº. 003/2025
2981.0,Microfone de Mesa,"Microfone de Mesa: Microfone dinâmico USB/XLR Podcast, kit
de microfone de estúdio com controle de volume, suporte de
choque, filtro pop, ideal para vocal, gravação de instrumentos,
locução, transmissão ao vivo (HD300T).",899.0,165.0,IFAM 2022-029 - IFAM_Reitoria - Maloca Acessível (12.126-6),Dheine Ceslin Passos Campos,Dalmir Pacheco de Souza,Doado,974.0,2023-11-01,2025-12-10,TERMO DE DOAÇÃO Nº. 003/2025
2982.0,Tablet ,"Tablete 10,5” 64GB Cam 8MP Frontal
5MP Octa-Core.
",1574.1,165.0,IFAM 2022-029 - IFAM_Reitoria - Maloca Acessível (12.126-6),Dheine Ceslin Passos Campos,Dalmir Pacheco de Souza,Doado,41755.0,2024-01-10,2025-12-10,TERMO DE DOAÇÃO Nº. 003/2025
2983.0,Tablet ,"Tablete 10,5” 64GB Cam 8MP Frontal
5MP Octa-Core.
",1574.1,165.0,IFAM 2022-029 - IFAM_Reitoria - Maloca Acessível (12.126-6),Dheine Ceslin Passos Campos,Dalmir Pacheco de Souza,Doado,41755.0,2024-01-10,2025-12-10,TERMO DE DOAÇÃO Nº. 003/2025
2984.0,Computador Notebook,"Notebook: Book Intel Core i3 256GB SSD Tela 15.6"" Windows 10 Cinza.",2069.1,165.0,IFAM 2022-029 - IFAM_Reitoria - Maloca Acessível (12.126-6),Dheine Ceslin Passos Campos,Dalmir Pacheco de Souza,Doado,41755.0,2024-01-10,2025-12-10,TERMO DE DOAÇÃO Nº. 003/2025
,,,31594.099999999995,,,,,,,,,
