Nº Patrimônio,Produto,Descrição,Valor,Cód. Projeto,Projeto,Gestor,Coordenador,Situação,NF,Data Emissão da Nota,Data do Termo de Doação,Nº Termo de Doação
2262.0,Nobreak ,"Nobreak ATTIV 1500VA Bivolt Preto 
Composição das células da bateria Chumbo-ácido selado
Dimensões do item C x L x A 26.9 x 12.4 x 21.4 centímetros
Tensão 110 Volts, 220 Volts
Cor Preto",942.35,132.0,IFAM 2022-020 - SAGEMCOM - RIGEL (12030-8),Evandro da Costa Dias Junior,Lia Alessandra da Silva Martins,Doado,251.0,2023-03-20,2025-12-10,Termo de doação nº 071-2025
2263.0,Computador Notebook,"Notebook XPS 13 Plus 
Processador 12ª geração Intel® Core™ i7-1260P (12-core, cache de 18MB, até 4.7 GHz)
Sistema operacional Windows 11 Pro, português
Placa de vídeo Intel® Iris® Xe com memória gráfica compartilhada 
Tela UHD+ Touch de 13.4"" (3840 x 2400), 500 nits, borda infinita
Memória de 32GB LPDDR5 (soldada) 5200MHz; 
Armazenamento SSD de 1TB PCIe NVMe M.2 
",14424.36,132.0,IFAM 2022-020 - SAGEMCOM - RIGEL (12030-8),Evandro da Costa Dias Junior,Lia Alessandra da Silva Martins,Doado,1096.0,2023-03-23,2025-12-10,Termo de doação nº 071-2025
2264.0,Computador Notebook,"Notebook Precision 3571
Processador 12ª geração Intel® Core™ vPro® i9-12900H (14-core, 20-threads, cache de 24MB, até 5.00GHz Turbo)
Sistema Operacional Windows 11 Pro, Português (A Dell Technologies recomenda o Windows 11 Pro para empresas) 
Placa de vídeo card NVIDIA® RTX™ A2000, 8GB GDDR6 memory 
Memória de 32GB DDR5 (2x16GB) 4800MHz harddrive SSD de 1TB PCIe NVMe M.2 (Classe 40)
Armazenamento SSD de 1TB PCIe NVMe M.2 (Classe 40)
Tela 15.6"" FHD 1920 x 1080, 60 Hz, 250 nit, touch, IR FHD EMZA Camera and Mic with WLAN, BR Build
",17424.36,132.0,IFAM 2022-020 - SAGEMCOM - RIGEL (12030-8),Evandro da Costa Dias Junior,Lia Alessandra da Silva Martins,Doado,1096.0,2023-03-23,2025-12-10,Termo de doação nº 071-2025
2265.0,Monitor Gamer,"Monitor 165Hz Gamer 27"" S2721DGF Monitor LCD com retroiluminação LED / matriz ativa TFT Dimensão diagonal 27"" Resolução Nativa QHD 2560 x 1440 (DisplayPort: 165 Hz, HDMI: 144 Hz) Dimensões (LxPxA) 61.16 cm x 20.03 cm x 39.39 cm - com apoio",3490.0,132.0,IFAM 2022-020 - SAGEMCOM - RIGEL (12030-8),Evandro da Costa Dias Junior,Lia Alessandra da Silva Martins,Doado,679.0,2023-03-24,2025-12-10,Termo de doação nº 071-2025
2266.0,Monitor Gamer,"Monitor 165Hz Gamer 27"" S2721DGF Monitor LCD com retroiluminação LED / matriz ativa TFT Dimensão diagonal 27"" Resolução Nativa QHD 2560 x 1440 (DisplayPort: 165 Hz, HDMI: 144 Hz) Dimensões (LxPxA) 61.16 cm x 20.03 cm x 39.39 cm - com apoio",3490.0,132.0,IFAM 2022-020 - SAGEMCOM - RIGEL (12030-8),Evandro da Costa Dias Junior,Lia Alessandra da Silva Martins,Doado,679.0,2023-03-24,2025-12-10,Termo de doação nº 071-2025
2267.0,Monitor Gamer,"Monitor 165Hz Gamer 27"" S2721DGF Monitor LCD com retroiluminação LED / matriz ativa TFT Dimensão diagonal 27"" Resolução Nativa QHD 2560 x 1440 (DisplayPort: 165 Hz, HDMI: 144 Hz) Dimensões (LxPxA) 61.16 cm x 20.03 cm x 39.39 cm - com apoio",3490.0,132.0,IFAM 2022-020 - SAGEMCOM - RIGEL (12030-8),Evandro da Costa Dias Junior,Lia Alessandra da Silva Martins,Doado,679.0,2023-03-24,2025-12-10,Termo de doação nº 071-2025
2268.0,Nobreak ,"Nobreak Interativo ATTIV 700VA Bivolt Preto 
Composição das células da bateria Alcalina
Dimensões do item C x L x A 26.9 x 12.4 x 21.4 centímetros
Tensão 110 Volts, 220 Volts
Cor Preto",569.0,132.0,IFAM 2022-020 - SAGEMCOM - RIGEL (12030-8),Evandro da Costa Dias Junior,Lia Alessandra da Silva Martins,Doado,679.0,2023-03-24,2025-12-10,Termo de doação nº 071-2025
2269.0,Nobreak ,"Nobreak Interativo ATTIV 700VA Bivolt Preto 
Composição das células da bateria Alcalina
Dimensões do item C x L x A 26.9 x 12.4 x 21.4 centímetros
Tensão 110 Volts, 220 Volts
Cor Preto",569.0,132.0,IFAM 2022-020 - SAGEMCOM - RIGEL (12030-8),Evandro da Costa Dias Junior,Lia Alessandra da Silva Martins,Doado,679.0,2023-03-24,2025-12-10,Termo de doação nº 071-2025
2270.0,"Monitor 27""","Monitor Dell de 27"" 4K com Hub USB-C P2723QE
Monitor LCD com retroiluminação LED / matriz ativa TFT
Dimensão diagonal 27""
Resolução Nativa
4K 3840 x 2160 a 60 Hz
Dimensões (LxPxA)
61.16 cm x 18.5 cm x 53.52 cm - com apoio",4190.0,132.0,IFAM 2022-020 - SAGEMCOM - RIGEL (12030-8),Evandro da Costa Dias Junior,Lia Alessandra da Silva Martins,Doado,679.0,2023-03-24,2025-12-10,Termo de doação nº 071-2025
2271.0,"Monitor 27""","Monitor Dell de 27"" 4K com Hub USB-C P2723QE
Monitor LCD com retroiluminação LED / matriz ativa TFT
Dimensão diagonal 27""
Resolução Nativa
4K 3840 x 2160 a 60 Hz
Dimensões (LxPxA)
61.16 cm x 18.5 cm x 53.52 cm - com apoio",4190.0,132.0,IFAM 2022-020 - SAGEMCOM - RIGEL (12030-8),Evandro da Costa Dias Junior,Lia Alessandra da Silva Martins,Doado,679.0,2023-03-24,2025-12-10,Termo de doação nº 071-2025
2272.0,"Monitor 27""","Monitor Dell de 27"" 4K com Hub USB-C P2723QE
Monitor LCD com retroiluminação LED / matriz ativa TFT
Dimensão diagonal 27""
Resolução Nativa
4K 3840 x 2160 a 60 Hz
Dimensões (LxPxA)
61.16 cm x 18.5 cm x 53.52 cm - com apoio",4190.0,132.0,IFAM 2022-020 - SAGEMCOM - RIGEL (12030-8),Evandro da Costa Dias Junior,Lia Alessandra da Silva Martins,Doado,679.0,2023-03-24,2025-12-10,Termo de doação nº 071-2025
2273.0,Monitor  24,"Monitor 24"" USB-C Hub Dell P2422HE
Monitor LCD com retroiluminação LED / matriz ativa TFT
Dimensão diagonal 24""
Resolução Nativa Full HD (1080p) 1920 x 1080 a 60 Hz
Dimensões (LxPxA)
53.78 cm x 17.95 cm x 49.61 cm - com apoio",2390.0,132.0,IFAM 2022-020 - SAGEMCOM - RIGEL (12030-8),Evandro da Costa Dias Junior,Lia Alessandra da Silva Martins,Doado,679.0,2023-03-24,2025-12-10,Termo de doação nº 071-2025
2274.0,Monitor  24,"Monitor 24"" USB-C Hub Dell P2422HE
Monitor LCD com retroiluminação LED / matriz ativa TFT
Dimensão diagonal 24""
Resolução Nativa Full HD (1080p) 1920 x 1080 a 60 Hz
Dimensões (LxPxA)
53.78 cm x 17.95 cm x 49.61 cm - com apoio",2390.0,132.0,IFAM 2022-020 - SAGEMCOM - RIGEL (12030-8),Evandro da Costa Dias Junior,Lia Alessandra da Silva Martins,Doado,679.0,2023-03-24,2025-12-10,Termo de doação nº 071-2025
2275.0,Monitor  24,"Monitor 24"" USB-C Hub Dell P2422HE
Monitor LCD com retroiluminação LED / matriz ativa TFT
Dimensão diagonal 24""
Resolução Nativa Full HD (1080p) 1920 x 1080 a 60 Hz
Dimensões (LxPxA)
53.78 cm x 17.95 cm x 49.61 cm - com apoio",2390.0,132.0,IFAM 2022-020 - SAGEMCOM - RIGEL (12030-8),Evandro da Costa Dias Junior,Lia Alessandra da Silva Martins,Doado,679.0,2023-03-24,2025-12-10,Termo de doação nº 071-2025
2276.0,Computador Notebook,"Notebook Precision 3571
Processador 12ª geração Intel® Core™ vPro® i9-12900H (14-core, 20-threads, cache de 24MB, até 5.00GHz Turbo)
Sistema Operacional Windows 11 Pro, Português (A Dell Technologies recomenda o Windows 11 Pro para empresas) 
Placa de vídeo card NVIDIA® RTX™ A2000, 8GB GDDR6 memory 
Memória de 32GB DDR5 (2x16GB) 4800MHz harddrive SSD de 1TB PCIe NVMe M.2 (Classe 40)
Armazenamento SSD de 1TB PCIe NVMe M.2 (Classe 40)
Tela 15.6"" FHD 1920 x 1080, 60 Hz, 250 nit, touch, IR FHD EMZA Camera and Mic with WLAN, BR Build+A1:E6",18088.35,132.0,IFAM 2022-020 - SAGEMCOM - RIGEL (12030-8),Evandro da Costa Dias Junior,Lia Alessandra da Silva Martins,Doado,13.0,2023-03-23,2025-12-10,Termo de doação nº 071-2025
