Unnamed: 0,Nº Patrimônio,Produto,Descrição,Valor,Cód. Projeto,Projeto,Responsável pelo Setor,Responsável pelo Setor.1,Situação,NF,Data Emissão da Nota,Data do Termo de Doação,Nº Termo de Doação
,2349.0,Máquina ou Equipamento,CAMERA DE TV P/ SIST. DE SEGURANCA VHD 1220 D FULL; ,261.0,61.0,IFAM USO COMP. - RATEIO (10960-6),Alyson de Jesus dos santos,Alyson de Jesus dos santos,Doado,827.0,2022-09-15,,
,2350.0,Máquina ou Equipamento,Switch Cisco 48 Portas POE 370W 4X SFP Layer 3 Gigabit Gerenciavel; ,9570.25,61.0,IFAM USO COMP. - RATEIO (10960-6),Alyson de Jesus dos santos,Alyson de Jesus dos santos,Doado,1016.0,2023-03-28,,
,2351.0,Máquina ou Equipamento,Switch Cisco 48 Portas POE 370W 4X SFP Layer 3 Gigabit Gerenciavel;,9570.25,61.0,IFAM USO COMP. - RATEIO (10960-6),Alyson de Jesus dos santos,Alyson de Jesus dos santos,Doado,1016.0,2023-03-28,,
,2352.0,Máquina ou Equipamento,Switch Unifi 24 Portas Gigabit POE 2SFP Layer 3 Gerenciavel; ,6195.3,61.0,IFAM USO COMP. - RATEIO (10960-6),Alyson de Jesus dos santos,Alyson de Jesus dos santos,Doado,1016.0,2023-03-28,,
,2353.0,Máquina ou Equipamento,Switch Unifi 24 Portas Gigabit POE 2SFP Layer 3 Gerenciavel,6195.3,61.0,IFAM USO COMP. - RATEIO (10960-6),Alyson de Jesus dos santos,Alyson de Jesus dos santos,Doado,1016.0,2023-03-28,2025-12-10,043-2025
,2354.0,Máquina ou Equipamento,Switch Unifi 24 Portas Gigabit POE 2SFP Layer 3 Gerenciavel,6195.3,61.0,IFAM USO COMP. - RATEIO (10960-6),Alyson de Jesus dos santos,Alyson de Jesus dos santos,Doado,1016.0,2023-03-28,2025-12-10,043-2025
,2355.0,Máquina ou Equipamento,CAMERA DE TV P/ SIST. DE SEGURANCA VHD 1220 D FULL COLOR. PN4565345,261.0,61.0,IFAM USO COMP. - RATEIO (10960-6),Alyson de Jesus dos santos,Alyson de Jesus dos santos,Doado,827.0,2022-09-15,2025-12-10,043-2025
,2356.0,Máquina ou Equipamento,Nobreak NHS Laser Senoidal xxxx-y (GII5000VA/12 Baterias Seladas 9Ah/S.120V);,8390.0,61.0,IFAM USO COMP. - RATEIO (10960-6),Alyson de Jesus dos santos,Alyson de Jesus dos santos,Doado,1164.0,2023-06-29,2025-12-10,043-2025
,2357.0,Máquina ou Equipamento,Conversor de Mídia - KGSD 1120 LADO A - Gigabit Ethernet Monomodo 20 km WDM;,599.0,61.0,IFAM USO COMP. - RATEIO (10960-6),Alyson de Jesus dos santos,Alyson de Jesus dos santos,Doado,1164.0,2023-06-29,2025-12-10,043-2025
,2358.0,Máquina ou Equipamento,Conversor de Mídia - KGSD 1120 LADO A - Gigabit Ethernet Monomodo 20 km WDM;,599.0,61.0,IFAM USO COMP. - RATEIO (10960-6),Alyson de Jesus dos santos,Alyson de Jesus dos santos,Doado,1164.0,2023-06-29,2025-12-10,043-2025
,2359.0,Máquina ou Equipamento,Video Conferencia Intelbras USB EVC 300 HD 1080p,2450.0,61.0,IFAM USO COMP. - RATEIO (10960-6),Alyson de Jesus dos santos,Alyson de Jesus dos santos,Doado,1016.0,2023-03-28,2025-12-10,043-2025
,2360.0,Máquina ou Equipamento,C11CJ67303_ES MULTIFUNCIONAL EPSON ECOTANK L3250,1345.0,61.0,IFAM USO COMP. - RATEIO (10960-6),Alyson de Jesus dos santos,Alyson de Jesus dos santos,Doado,1016.0,2023-03-28,2025-12-10,043-2025
,2361.0,Máquina ou Equipamento,CAMERA DE TV P/ SIST. DE SEGURANCA VHD 1220 D FULL COLOR. PN4565345,261.0,61.0,IFAM USO COMP. - RATEIO (10960-6),Alyson de Jesus dos santos,Alyson de Jesus dos santos,Doado,827.0,2022-09-15,2025-12-10,043-2025
,2362.0,Máquina ou Equipamento,CAMERA DE TV P/ SIST. DE SEGURANCA VHD 1220 D FULL COLOR. PN4565345,261.0,61.0,IFAM USO COMP. - RATEIO (10960-6),Alyson de Jesus dos santos,Alyson de Jesus dos santos,Doado,827.0,2022-09-15,2025-12-10,043-2025
,2363.0,Máquina ou Equipamento,CAMERA DE TV P/ SIST. DE SEGURANCA VHD 1220 D FULL COLOR. PN4565345,261.0,61.0,IFAM USO COMP. - RATEIO (10960-6),Alyson de Jesus dos santos,Alyson de Jesus dos santos,Doado,827.0,2022-09-15,2025-12-10,043-2025
,2364.0,Máquina ou Equipamento,CAMERA DE TV P/ SIST. DE SEGURANCA VHD 1220 D FULL COLOR. PN4565345,261.0,61.0,IFAM USO COMP. - RATEIO (10960-6),Alyson de Jesus dos santos,Alyson de Jesus dos santos,Doado,827.0,2022-09-15,2025-12-10,043-2025
,2365.0,Licença de Software ,Licenca de software envato elements; ,1990.0,61.0,IFAM USO COMP. - RATEIO (10960-6),Alyson de Jesus dos santos,Alyson de Jesus dos santos,Doado,485.0,2022-09-12,2025-12-10,043-2025
,2366.0,"Móveis e estrutura: Armários, cadeiras, bancadas, mesas, estantes, caixas metálicas, gaveteiros, suportes, sofá, poltrona, geladeira, fogão frigobar","MESA EM L (UM LADO COM 2M E 13 CM E OUTRO LADO COM 4 M, COM PERNA EM METALON PRETO);  ",3500.0,61.0,IFAM USO COMP. - RATEIO (10960-6),Alyson de Jesus dos santos,Alyson de Jesus dos santos,Doado,7.0,2022-09-01,2025-12-10,043-2025
,2367.0,"Móveis e estrutura: Armários, cadeiras, bancadas, mesas, estantes, caixas metálicas, gaveteiros, suportes, sofá, poltrona, geladeira, fogão frigobar","Suporte e customização avançados na instalação do Espectroscopia de fluorescência do frx, Xan 250;",6686.23,61.0,IFAM USO COMP. - RATEIO (10960-6),Alyson de Jesus dos santos,Alyson de Jesus dos santos,Doado,3023.0,2023-02-07,2025-12-10,043-2025
,2368.0,"Móveis e estrutura: Armários, cadeiras, bancadas, mesas, estantes, caixas metálicas, gaveteiros, suportes, sofá, poltrona, geladeira, fogão frigobar",GELADEIRA BRASTEMP EVOX BRM54HKA 400L IN; ,3812.0,61.0,IFAM USO COMP. - RATEIO (10960-6),Alyson de Jesus dos santos,Alyson de Jesus dos santos,Doado,6894849.0,2023-03-28,2025-12-10,043-2025
,2369.0,"Móveis e estrutura: Armários, cadeiras, bancadas, mesas, estantes, caixas metálicas, gaveteiros, suportes, sofá, poltrona, geladeira, fogão frigobar","POLT PRES OPER POL PRETO BACK DIG; 
",1102.0,61.0,IFAM USO COMP. - RATEIO (10960-6),Alyson de Jesus dos santos,Alyson de Jesus dos santos,Doado,58179.0,2023-03-30,2025-12-10,043-2025
,2370.0,"Móveis e estrutura: Armários, cadeiras, bancadas, mesas, estantes, caixas metálicas, gaveteiros, suportes, sofá, poltrona, geladeira, fogão frigobar",Claviculario - 120 chaves; ,449.0,61.0,IFAM USO COMP. - RATEIO (10960-6),Alyson de Jesus dos santos,Alyson de Jesus dos santos,Doado,1107.0,2023-04-17,2025-12-10,043-2025
,2371.0,"Móveis e estrutura: Armários, cadeiras, bancadas, mesas, estantes, caixas metálicas, gaveteiros, suportes, sofá, poltrona, geladeira, fogão frigobar","POLT PRES OPER POL PRETO BACK DIG
",1102.0,61.0,IFAM USO COMP. - RATEIO (10960-6),Alyson de Jesus dos santos,Alyson de Jesus dos santos,Doado,58179.0,2023-03-30,2025-12-10,043-2025
,2372.0,"Móveis e estrutura: Armários, cadeiras, bancadas, mesas, estantes, caixas metálicas, gaveteiros, suportes, sofá, poltrona, geladeira, fogão frigobar","ARMÁRIO DE 2,30 DE ALTURA POR 60 CM DE PROFUNDIDADE E 79 DE LARGURA COM 02 PONTAS DE ABRIR E TAPONADO NA COR CARVALHO",1200.0,61.0,IFAM USO COMP. - RATEIO (10960-6),Alyson de Jesus dos santos,Alyson de Jesus dos santos,Doado,7.0,2022-09-01,2025-12-10,043-2025
,2373.0,"Móveis e estrutura: Armários, cadeiras, bancadas, mesas, estantes, caixas metálicas, gaveteiros, suportes, sofá, poltrona, geladeira, fogão frigobar","ARMARIO CORTA-FOGO PRACTICAL - 1,00 X
 1,00 X 0,45M - VERMELHO
",4250.0,61.0,IFAM USO COMP. - RATEIO (10960-6),Alyson de Jesus dos santos,Alyson de Jesus dos santos,Doado,94987.0,2021-08-04,2025-12-10,043-2025
,2374.0,"Móveis e estrutura: Armários, cadeiras, bancadas, mesas, estantes, caixas metálicas, gaveteiros, suportes, sofá, poltrona, geladeira, fogão frigobar","ARMARIO CORTA-FOGO PRACTICAL - 1,00 X
 1,00 X 0,45M - VERMELHO",4250.0,61.0,IFAM USO COMP. - RATEIO (10960-6),Alyson de Jesus dos santos,Alyson de Jesus dos santos,Doado,94987.0,2021-08-04,2025-12-10,043-2025
,2375.0,"Móveis e estrutura: Armários, cadeiras, bancadas, mesas, estantes, caixas metálicas, gaveteiros, suportes, sofá, poltrona, geladeira, fogão frigobar","POLT PRES OPER POL PRETO BACK DIG
",1102.0,61.0,IFAM USO COMP. - RATEIO (10960-6),Alyson de Jesus dos santos,Alyson de Jesus dos santos,Doado,58179.0,2023-03-30,2025-12-10,043-2025
,2376.0,"Móveis e estrutura: Armários, cadeiras, bancadas, mesas, estantes, caixas metálicas, gaveteiros, suportes, sofá, poltrona, geladeira, fogão frigobar",POLT PRES OPER POL PRETO BACK DIG,1102.0,61.0,IFAM USO COMP. - RATEIO (10960-6),Alyson de Jesus dos santos,Alyson de Jesus dos santos,Doado,58179.0,2023-03-30,2025-12-10,043-2025
,2377.0,"Móveis e estrutura: Armários, cadeiras, bancadas, mesas, estantes, caixas metálicas, gaveteiros, suportes, sofá, poltrona, geladeira, fogão frigobar",POLT PRES OPER POL PRETO BACK DIG,1102.0,61.0,IFAM USO COMP. - RATEIO (10960-6),Alyson de Jesus dos santos,Alyson de Jesus dos santos,Doado,58179.0,2023-03-30,2025-12-10,043-2025
,2378.0,"Móveis e estrutura: Armários, cadeiras, bancadas, mesas, estantes, caixas metálicas, gaveteiros, suportes, sofá, poltrona, geladeira, fogão frigobar","POLT PRES OPER POL PRETO BACK DIG
",1102.0,61.0,IFAM USO COMP. - RATEIO (10960-6),Alyson de Jesus dos santos,Alyson de Jesus dos santos,Doado,58179.0,2023-03-30,2025-12-10,043-2025
,2379.0,"Móveis e estrutura: Armários, cadeiras, bancadas, mesas, estantes, caixas metálicas, gaveteiros, suportes, sofá, poltrona, geladeira, fogão frigobar","POLT PRES OPER POL PRETO BACK DIG
",1102.0,61.0,IFAM USO COMP. - RATEIO (10960-6),Alyson de Jesus dos santos,Alyson de Jesus dos santos,Doado,58179.0,2023-03-30,2025-12-10,043-2025
,2380.0,"Móveis e estrutura: Armários, cadeiras, bancadas, mesas, estantes, caixas metálicas, gaveteiros, suportes, sofá, poltrona, geladeira, fogão frigobar",POLT PRES OPER POL PRETO BACK DIG,1102.0,61.0,IFAM USO COMP. - RATEIO (10960-6),Alyson de Jesus dos santos,Alyson de Jesus dos santos,Doado,58179.0,2023-03-30,2025-12-10,043-2025
,2381.0,"Móveis e estrutura: Armários, cadeiras, bancadas, mesas, estantes, caixas metálicas, gaveteiros, suportes, sofá, poltrona, geladeira, fogão frigobar","T PRES OPER POL PRETO BACK DIG
",1102.0,61.0,IFAM USO COMP. - RATEIO (10960-6),Alyson de Jesus dos santos,Alyson de Jesus dos santos,Doado,58179.0,2023-03-30,2025-12-10,043-2025
