Unnamed: 0,Nº Patrimônio,Produto,Descrição,Valor,Cód. Projeto,Projeto,Gestor,Coordenador,Situação,NF,Data Emissão da Nota,Data do Termo de Doação,Nº Termo de Doação
,,Máquina ou Equipamento,"Microcomputador Portatil Dell G15 5515 - (AMD Rysen 7 5800H, RAM 16GB, SSD 512GB, Wifi, Display FHD, Bat. 6 Cel, MCAFEE - 12 MESES, Win 11 Home POR);",50439.18,81.0,IFAM 2022-001 - FOXCONN.EMBRAPII - Plataforma de Predição de Falhas IoT (11291-7/11295-X),Alessandra Castro Rocha ,Marlos André Silva Rodrigues,Registrado,4297407.0,2022-06-27,2025-12-10,052-2025
,,Máquina ou Equipamento,"Microcomputador Portatil Dell XPS 13 9310 - (Core i7-1185G7, RAM 16GB, Wifi, SSD 1TB, Display UHD+ Touch, Bat. 4 Cel, MCAFEE 12 MESES, Win 11 Pro POR);",21641.99,81.0,IFAM 2022-001 - FOXCONN.EMBRAPII - Plataforma de Predição de Falhas IoT (11291-7/11295-X),Alessandra Castro Rocha ,Marlos André Silva Rodrigues,Registrado,4265593.0,2022-06-15,2025-12-10,052-2025
,,Máquina ou Equipamento,"DELL MICOCOMPUTADOR OPTIPLEX 3080M, CORE I7-10700T,RAM - 8GB, SSD 256GB, WIN 10 PRO;
",6276.0,81.0,IFAM 2022-001 - FOXCONN.EMBRAPII - Plataforma de Predição de Falhas IoT (11291-7/11295-X),Alessandra Castro Rocha ,Marlos André Silva Rodrigues,Registrado,731.0,2022-06-20,2025-12-10,052-2025
,,Máquina ou Equipamento,Monitor Dell de 27 4K com Hub USB-C P2723QE,3447.0,81.0,IFAM 2022-001 - FOXCONN.EMBRAPII - Plataforma de Predição de Falhas IoT (11291-7/11295-X),Alessandra Castro Rocha ,Marlos André Silva Rodrigues,Registrado,1102.0,2023-03-27,2025-12-10,052-2025
,,Máquina ou Equipamento,"COMPUTADOR WORKSTATION Intel I-9 32Gb DDR5 SSD 2TB Video Card 16GB;
",35600.0,81.0,IFAM 2022-001 - FOXCONN.EMBRAPII - Plataforma de Predição de Falhas IoT (11291-7/11295-X),Alessandra Castro Rocha ,Marlos André Silva Rodrigues,Registrado,1018.0,2023-03-28,2025-12-10,052-2025
,,Máquina ou Equipamento,Monitor Gamer Acer Nitro 27 FHD IPS 165Hz VG272,2200.0,81.0,IFAM 2022-001 - FOXCONN.EMBRAPII - Plataforma de Predição de Falhas IoT (11291-7/11295-X),Alessandra Castro Rocha ,Marlos André Silva Rodrigues,Registrado,1019.0,2023-03-28,2025-12-10,052-2025
,,Máquina ou Equipamento,"ROTEADOR DIGITAL PARA REDE SEM FIO NIT21LI;
",907.07,81.0,IFAM 2022-001 - FOXCONN.EMBRAPII - Plataforma de Predição de Falhas IoT (11291-7/11295-X),Alessandra Castro Rocha ,Marlos André Silva Rodrigues,Registrado,58081.0,2022-06-21,2025-12-10,052-2025
,,Máquina ou Equipamento,"
ROTEADOR DIGITAL PARA REDE SEM FIO NIT2ILI;
",907.1,81.0,IFAM 2022-001 - FOXCONN.EMBRAPII - Plataforma de Predição de Falhas IoT (11291-7/11295-X),Alessandra Castro Rocha ,Marlos André Silva Rodrigues,Registrado,58081.0,2022-06-21,2025-12-10,052-2025
,,Máquina ou Equipamento,"Motor Weg Cestari Novo 0,75cv Al80 4p 220v Ipw55 Flange Din;
",1490.0,81.0,IFAM 2022-001 - FOXCONN.EMBRAPII - Plataforma de Predição de Falhas IoT (11291-7/11295-X),Alessandra Castro Rocha ,Marlos André Silva Rodrigues,Registrado,531.0,2022-11-29,2025-12-10,052-2025
,,Máquina ou Equipamento,"DELL MICOCOMPUTADOR OPTIPLEX 3080M, CORE I7-10700T,RAM - 8GB, SSD 256GB, WIN 10 PRO;",6276.0,81.0,IFAM 2022-001 - FOXCONN.EMBRAPII - Plataforma de Predição de Falhas IoT (11291-7/11295-X),Alessandra Castro Rocha ,Marlos André Silva Rodrigues,Registrado,731.0,2022-06-20,2025-12-10,052-2025
,,Máquina ou Equipamento,"DELL MICOCOMPUTADOR OPTIPLEX 3080M, CORE I7-10700T,RAM - 8GB, SSD 256GB, WIN 10 PRO;",6276.0,81.0,IFAM 2022-001 - FOXCONN.EMBRAPII - Plataforma de Predição de Falhas IoT (11291-7/11295-X),Alessandra Castro Rocha ,Marlos André Silva Rodrigues,Registrado,731.0,2022-06-20,2025-12-10,052-2025
,,Máquina ou Equipamento,"DELL MONITOR 21,5 E2222HS",1690.0,81.0,IFAM 2022-001 - FOXCONN.EMBRAPII - Plataforma de Predição de Falhas IoT (11291-7/11295-X),Alessandra Castro Rocha ,Marlos André Silva Rodrigues,Registrado,731.0,2022-06-20,2025-12-10,052-2025
,,Máquina ou Equipamento,"DELL MONITOR 21,5 E2222HS",1690.0,81.0,IFAM 2022-001 - FOXCONN.EMBRAPII - Plataforma de Predição de Falhas IoT (11291-7/11295-X),Alessandra Castro Rocha ,Marlos André Silva Rodrigues,Registrado,731.0,2022-06-20,2025-12-10,052-2025
,,Máquina ou Equipamento,"DELL MONITOR 21,5 E2222HS",1690.0,81.0,IFAM 2022-001 - FOXCONN.EMBRAPII - Plataforma de Predição de Falhas IoT (11291-7/11295-X),Alessandra Castro Rocha ,Marlos André Silva Rodrigues,Registrado,731.0,2022-06-20,2025-12-10,052-2025
,,Máquina ou Equipamento,TRAD (CONV) DE PROT PAR INT DE REDES (GATEWAY) ITG 200 KML,4952.84,81.0,IFAM 2022-001 - FOXCONN.EMBRAPII - Plataforma de Predição de Falhas IoT (11291-7/11295-X),Alessandra Castro Rocha ,Marlos André Silva Rodrigues,Registrado,58081.0,2022-06-21,2025-12-10,052-2025
,,Máquina ou Equipamento,ROTEADOR DIGITAL PARA REDE SEM FIO EM THW201,678.45,81.0,IFAM 2022-001 - FOXCONN.EMBRAPII - Plataforma de Predição de Falhas IoT (11291-7/11295-X),Alessandra Castro Rocha ,Marlos André Silva Rodrigues,Registrado,58081.0,2022-06-21,2025-12-10,052-2025
,,Máquina ou Equipamento,ROTEADOR DIGITAL PARA REDE SEM FIO (ITE11LI),1878.98,81.0,IFAM 2022-001 - FOXCONN.EMBRAPII - Plataforma de Predição de Falhas IoT (11291-7/11295-X),Alessandra Castro Rocha ,Marlos André Silva Rodrigues,Registrado,58081.0,2022-06-21,2025-12-10,052-2025
,,,,148040.61000000004,,,,,,,,,
