Nº Patrimônio,Produto,Descrição,Valor,Cód. Projeto,Projeto,Gestor,Coordenador,Situação,NF,Data Emissão da Nota,Data do Termo de Doação,Nº Termo de Doação
3000,Máquina ou Equipamento,"NOTEBOOK DELL INSPIRON 15 SERIE 3000 INTEL I7- 8565U ( 1.8 GHZ) WINDOWS 10 HOME PLACA DE VIDEO INTEGRADA GRAPHICS 620)
",6279.0,9.0,ARANOUÁ - ANO 1 (10622-4),Luciana Cecilia Brito de Vasconcelos,Paulo Henrique Rocha Aride,Doado,7706.0,2020-10-07,2025-12-10,022-2025
3001,Máquina ou Equipamento,NOTEBOOK DELL INSPIRON 15 SERIE 3000 INTEL I7- 8565U ( 1.8 GHZ) WINDOWS 10 HOME PLACA DE VIDEO INTEGRADA GRAPHICS 620),6279.0,9.0,ARANOUÁ - ANO 1 (10622-4),Luciana Cecilia Brito de Vasconcelos,Paulo Henrique Rocha Aride,Doado,7706.0,2020-10-07,2025-12-10,022-2025
3002,Máquina ou Equipamento,NOTEBOOK DELL INSPIRON 15 SERIE 3000 INTEL I7- 8565U ( 1.8 GHZ) WINDOWS 10 HOME PLACA DE VIDEO INTEGRADA GRAPHICS 620),6279.0,9.0,ARANOUÁ - ANO 1 (10622-4),Luciana Cecilia Brito de Vasconcelos,Paulo Henrique Rocha Aride,Doado,7706.0,2020-10-07,2025-12-10,022-2025
3003,Máquina ou Equipamento,NOTEBOOK DELL INSPIRON 15 SERIE 3000 INTEL I7- 8565U ( 1.8 GHZ) WINDOWS 10 HOME PLACA DE VIDEO INTEGRADA GRAPHICS 620),6279.0,9.0,ARANOUÁ - ANO 1 (10622-4),Luciana Cecilia Brito de Vasconcelos,Paulo Henrique Rocha Aride,Doado,7706.0,2020-10-07,2025-12-10,022-2025
3004,Máquina ou Equipamento,"NOTEBOOK DELL INSPIRON 15 SERIE 3000 INTEL I7- 8565U ( 1.8 GHZ) WINDOWS 10 HOME PLACA DE VIDEO INTEGRADA GRAPHICS 620)
",6279.0,9.0,ARANOUÁ - ANO 1 (10622-4),Luciana Cecilia Brito de Vasconcelos,Paulo Henrique Rocha Aride,Doado,7706.0,2020-10-07,2025-12-10,022-2025
3005,Máquina ou Equipamento,NOTEBOOK DELL INSPIRON 15 SERIE 3000 INTEL I7- 8565U ( 1.8 GHZ) WINDOWS 10 HOME PLACA DE VIDEO INTEGRADA GRAPHICS 620),6279.0,9.0,ARANOUÁ - ANO 1 (10622-4),Luciana Cecilia Brito de Vasconcelos,Paulo Henrique Rocha Aride,Doado,7706.0,2020-10-07,2025-12-10,022-2025
3006,Máquina ou Equipamento,NOTEBOOK DELL INSPIRON 15 SERIE 3000 INTEL I7- 8565U ( 1.8 GHZ) WINDOWS 10 HOME PLACA DE VIDEO INTEGRADA GRAPHICS 620),6279.0,9.0,ARANOUÁ - ANO 1 (10622-4),Luciana Cecilia Brito de Vasconcelos,Paulo Henrique Rocha Aride,Doado,7706.0,2020-10-07,2025-12-10,022-2025
3007,Máquina ou Equipamento,NOTEBOOK DELL INSPIRON 15 SERIE 3000 INTEL I7- 8565U ( 1.8 GHZ) WINDOWS 10 HOME PLACA DE VIDEO INTEGRADA GRAPHICS 620),6279.0,9.0,ARANOUÁ - ANO 1 (10622-4),Luciana Cecilia Brito de Vasconcelos,Paulo Henrique Rocha Aride,Doado,7706.0,2020-10-07,2025-12-10,022-2025
3008,Máquina ou Equipamento,NOTEBOOK DELL INSPIRON 15 SERIE 3000 INTEL I7- 8565U ( 1.8 GHZ) WINDOWS 10 HOME PLACA DE VIDEO INTEGRADA GRAPHICS 620),6279.0,9.0,ARANOUÁ - ANO 1 (10622-4),Luciana Cecilia Brito de Vasconcelos,Paulo Henrique Rocha Aride,Doado,7706.0,2020-10-07,2025-12-10,022-2025
3009,Máquina ou Equipamento,NOTEBOOK DELL INSPIRON 15 SERIE 3000 INTEL I7- 8565U ( 1.8 GHZ) WINDOWS 10 HOME PLACA DE VIDEO INTEGRADA GRAPHICS 620),6279.0,9.0,ARANOUÁ - ANO 1 (10622-4),Luciana Cecilia Brito de Vasconcelos,Paulo Henrique Rocha Aride,Doado,7706.0,2020-10-07,2025-12-10,022-2025
