Nº Patrimônio,Produto,Descrição,Valor,Logradouro,Complemento,Bairro,Cep,Cidade,Estado,Observacao,Telefone,Cód. Projeto,Projeto,Gestor,Coordenador,Situação
,Computador Notebook,"Notebook, com as seguintes especificações:
- Intel® Core™ i7-10750H (2.6 GHz até 5 GHz, cache de 12MB, hexa-core, 10ª geração) - Windows 10 Home Single Language, de 64 bits - em português (Brasil)
- Placa de vídeo dedicada NVIDIA® GeForce® RTX 2060 Ti com 6GB de GDDR6
- Memória de 16GB (2x8GB), DDR4, 2933MHz
- SSD de 512GB PCIe NVMe M.2
- Tela Full HD WVA de 15.6"" (1920 x 1080)
- Bateria de 4 células e 68Whr (integrada)",11669.0,Av. João Valério,Sala 5,São Geraldo,69053358,Manaus,Amazonas,,,95,IFAM 2022-007 - TELLESCOM.EMBRAPII - STIPARE_INOVA (11419-7/11420-0),Ana Carolina Góes Martins,Luiz Henrique Portela de Abreu,Registrado
,Computador Notebook,"Notebook, com as seguintes especificações:
- Intel® Core™ i7-10750H (2.6 GHz até 5 GHz, cache de 12MB, hexa-core, 10ª geração) - Windows 10 Home Single Language, de 64 bits - em português (Brasil)
- Placa de vídeo dedicada NVIDIA® GeForce® RTX 2060 Ti com 6GB de GDDR6
- Memória de 16GB (2x8GB), DDR4, 2933MHz
- SSD de 512GB PCIe NVMe M.2
- Tela Full HD WVA de 15.6"" (1920 x 1080)
- Bateria de 4 células e 68Whr (integrada)",11669.0,Av. João Valério,Sala 5,São Geraldo,69053358,Manaus,Amazonas,,,95,IFAM 2022-007 - TELLESCOM.EMBRAPII - STIPARE_INOVA (11419-7/11420-0),Ana Carolina Góes Martins,Luiz Henrique Portela de Abreu,Registrado
,Protetor para câmera ,Protetor frontal para câmera Cognex IS7000,1019.18,Av. João Valério,Sala 5,São Geraldo,69053358,Manaus,Amazonas,,,95,IFAM 2022-007 - TELLESCOM.EMBRAPII - STIPARE_INOVA (11419-7/11420-0),Ana Carolina Góes Martins,Luiz Henrique Portela de Abreu,Registrado
,Lente ,"Lente Fujinon 16mm Megapixel 2/3"" Fixed Focal",2645.56,Av. João Valério,Sala 5,São Geraldo,69053358,Manaus,Amazonas,,,95,IFAM 2022-007 - TELLESCOM.EMBRAPII - STIPARE_INOVA (11419-7/11420-0),Ana Carolina Góes Martins,Luiz Henrique Portela de Abreu,Registrado
,Impressora ,Impressora Zebra ZE500 PN: ZE50062-R0A0000Z USB Serial Paralela ETH,62190.0,Av. João Valério,Sala 5,São Geraldo,69053358,Manaus,Amazonas,,,95,IFAM 2022-007 - TELLESCOM.EMBRAPII - STIPARE_INOVA (11419-7/11420-0),Ana Carolina Góes Martins,Luiz Henrique Portela de Abreu,Registrado
,Impressora ,Impressora Zebra ZE500 PN: ZE50062-R0A0000Z USB Serial Paralela ETH,62190.0,Av. João Valério,Sala 5,São Geraldo,69053358,Manaus,Amazonas,,,95,IFAM 2022-007 - TELLESCOM.EMBRAPII - STIPARE_INOVA (11419-7/11420-0),Ana Carolina Góes Martins,Luiz Henrique Portela de Abreu,Registrado
,Impressora ,Impressora Zebra ZE500 PN: ZE50062-R0A0000Z USB Serial Paralela ETH,62190.0,Av. João Valério,Sala 5,São Geraldo,69053358,Manaus,Amazonas,,,95,IFAM 2022-007 - TELLESCOM.EMBRAPII - STIPARE_INOVA (11419-7/11420-0),Ana Carolina Góes Martins,Luiz Henrique Portela de Abreu,Registrado
,Controlador lógico,Controlador Lógico Programa com 2MB de memória e modulo de expansão com 16 I/O,14805.205,Av. João Valério,Sala 5,São Geraldo,69053358,Manaus,Amazonas,,,95,IFAM 2022-007 - TELLESCOM.EMBRAPII - STIPARE_INOVA (11419-7/11420-0),Ana Carolina Góes Martins,Luiz Henrique Portela de Abreu,Registrado
,Controlador lógico,Controlador Lógico Programa com 2MB de memória e modulo de expansão com 16 I/O,14805.205,Av. João Valério,Sala 5,São Geraldo,69053358,Manaus,Amazonas,,,95,IFAM 2022-007 - TELLESCOM.EMBRAPII - STIPARE_INOVA (11419-7/11420-0),Ana Carolina Góes Martins,Luiz Henrique Portela de Abreu,Registrado
,Switch,Switch 6x10/100bt IP20 gerenciável,3752.81,Av. João Valério,Sala 5,São Geraldo,69053358,Manaus,Amazonas,,,95,IFAM 2022-007 - TELLESCOM.EMBRAPII - STIPARE_INOVA (11419-7/11420-0),Ana Carolina Góes Martins,Luiz Henrique Portela de Abreu,Registrado
,Switch,Switch 6x10/100bt IP20 gerenciável,3752.81,Av. João Valério,Sala 5,São Geraldo,69053358,Manaus,Amazonas,,,95,IFAM 2022-007 - TELLESCOM.EMBRAPII - STIPARE_INOVA (11419-7/11420-0),Ana Carolina Góes Martins,Luiz Henrique Portela de Abreu,Registrado
,Montadora de caixas,Montadora de caixas - DKX4540-60MM,173435.03,Av. Gov. Danilo de Matos Are,,"Distrito Industrial,",69075351,MANAUS,Amazonas,,,95,IFAM 2022-007 - TELLESCOM.EMBRAPII - STIPARE_INOVA (11419-7/11420-0),Ana Carolina Góes Martins,Luiz Henrique Portela de Abreu,Registrado
,Sofá,"Abraçadeira nylon 200x2,5mm PT T-18R",0.4468,Av. João Valério,Sala 5,São Geraldo,69053358,Manaus,Amazonas,,,95,IFAM 2022-007 - TELLESCOM.EMBRAPII - STIPARE_INOVA (11419-7/11420-0),Ana Carolina Góes Martins,Luiz Henrique Portela de Abreu,Registrado
,Sofá,"Abraçadeira nylon 200x2,5mm PT T-18R",0.4468,Av. João Valério,Sala 5,São Geraldo,69053358,Manaus,Amazonas,,,95,IFAM 2022-007 - TELLESCOM.EMBRAPII - STIPARE_INOVA (11419-7/11420-0),Ana Carolina Góes Martins,Luiz Henrique Portela de Abreu,Registrado
,Sofá,"Abraçadeira nylon 200x2,5mm PT T-18R",0.4468,Av. João Valério,Sala 5,São Geraldo,69053358,Manaus,Amazonas,,,95,IFAM 2022-007 - TELLESCOM.EMBRAPII - STIPARE_INOVA (11419-7/11420-0),Ana Carolina Góes Martins,Luiz Henrique Portela de Abreu,Registrado
,Sofá,"Abraçadeira nylon 200x2,5mm PT T-18R",0.4468,Av. João Valério,Sala 5,São Geraldo,69053358,Manaus,Amazonas,,,95,IFAM 2022-007 - TELLESCOM.EMBRAPII - STIPARE_INOVA (11419-7/11420-0),Ana Carolina Góes Martins,Luiz Henrique Portela de Abreu,Registrado
,Sofá,"Abraçadeira nylon 200x2,5mm PT T-18R",0.4468,Av. João Valério,Sala 5,São Geraldo,69053358,Manaus,Amazonas,,,95,IFAM 2022-007 - TELLESCOM.EMBRAPII - STIPARE_INOVA (11419-7/11420-0),Ana Carolina Góes Martins,Luiz Henrique Portela de Abreu,Registrado
