Nº Patrimônio,Produto,Descrição,Valor,Cód. Projeto,Projeto,Gestor,Coordenador,Situação,NF
2926.0,Smartphone,"Apple iPhone 14 Pro 128GB Cinza-espacial 6,1 48MP iOS 5G",9490.0,138.0,IFAM 2022-026 - SMART - EMBRAPII - Metrologia (12066-9/12067-7), Jailson Paulino Cezar,Diego Camara Sales,Doado,601
2927.0,Smartphone,"Apple iPhone 14 Pro 128GB Cinza-espacial 6,1 48MP iOS 5G",9490.0,138.0,IFAM 2022-026 - SMART - EMBRAPII - Metrologia (12066-9/12067-7), Jailson Paulino Cezar,Diego Camara Sales,Doado,601
2928.0,Computador ,MacBook Air 13.6 polegadas Chip M2 8GB RAM SSD 256GB - Meia-noite,15748.0,138.0,IFAM 2022-026 - SMART - EMBRAPII - Metrologia (12066-9/12067-7), Jailson Paulino Cezar,Diego Camara Sales,Doado,600
2929.0,Computador ,MacBook Air 13.6 polegadas Chip M2 8GB RAM SSD 256GB - Meia-noite,15748.0,138.0,IFAM 2022-026 - SMART - EMBRAPII - Metrologia (12066-9/12067-7), Jailson Paulino Cezar,Diego Camara Sales,Doado,600
2930.0,Computador ,"Microcomputador Portatil Dell G15 5520
(Core i7-12700H, RTX 3060, RAM 16GB, SSD 512GB, Wifi AX165, Display FHD, Bat.
6 Cel, Game Pass, MCAFEE 12 MESES, Win 11 Pro",8125.22,138.0,IFAM 2022-026 - SMART - EMBRAPII - Metrologia (12066-9/12067-7), Jailson Paulino Cezar,Diego Camara Sales,Doado,4902295
2931.0,Câmera ,"Câmera Gigabit Monocromática 2/3"" CMOS, 9 MP",10950.0,138.0,IFAM 2022-026 - SMART - EMBRAPII - Metrologia (12066-9/12067-7), Jailson Paulino Cezar,Diego Camara Sales,Doado,2529
2932.0,Lente ,"Lente C-Mount Industrial, 25 mm, 2/3"", 12 MP",5600.0,138.0,IFAM 2022-026 - SMART - EMBRAPII - Metrologia (12066-9/12067-7), Jailson Paulino Cezar,Diego Camara Sales,Doado,2529
2933.0,Braço robótico ,ROBO INDL SR20IA R30BCM PT+ BACK VLV 450-,208284.1,138.0,IFAM 2022-026 - SMART - EMBRAPII - Metrologia (12066-9/12067-7), Jailson Paulino Cezar,Diego Camara Sales,Doado,55091
2934.0,Computador Desktop,"Microcomputador Dell XPS 8950 (Core i7-12700, RAM 16GB, GeForce RTX 3060, Wifi Killer 1675, DVD+-RW, MCAFEE 12 MESES, Win 11 Home",8481.4,138.0,IFAM 2022-026 - SMART - EMBRAPII - Metrologia (12066-9/12067-7), Jailson Paulino Cezar,Diego Camara Sales,Doado,5020229
2935.0,Controlador lógico,"CLP Siemens S7 300 CPU 313C Modelo: 6ES7
313-5BF03-0AB0
",15999.0,138.0,IFAM 2022-026 - SMART - EMBRAPII - Metrologia (12066-9/12067-7), Jailson Paulino Cezar,Diego Camara Sales,Doado,1162
2936.0,Tensiômetro,"Tensiometro Tensocheck 100 Sefar - TENS-100
",29000.0,138.0,IFAM 2022-026 - SMART - EMBRAPII - Metrologia (12066-9/12067-7), Jailson Paulino Cezar,Diego Camara Sales,Doado,14
2937.0,Máquina ou Equipamento,"Microcomputador Portatil Dell Vostro 16 7620 (Core i7-12700H, RAM 16GB, GeForce RTX 3050 Ti, SSD 512GB, Wi-Fi, Display FHD+, Bat. 3 Cel, McAfee Small Business Sec 12M, Win 11 Pro POR)",7275.69,138.0,IFAM 2022-026 - SMART - EMBRAPII - Metrologia (12066-9/12067-7), Jailson Paulino Cezar,Diego Camara Sales,Doado,4898009
2938.0,Sensor de Deslocamento,Sensor de Deslocamento de Laser  2d Keyence,116620.69,138.0,IFAM 2022-026 - SMART - EMBRAPII - Metrologia (12066-9/12067-7), Jailson Paulino Cezar,Diego Camara Sales,Doado,98884/99929
2939.0,Móveis e estrutura,Suporte Articulado Dell para monitor MSA20,1341.83,138.0,IFAM 2022-026 - SMART - EMBRAPII - Metrologia (12066-9/12067-7), Jailson Paulino Cezar,Diego Camara Sales,Doado,5132504
2940.0,Monitor,"Monitor 23.8"" USB-C Hub Dell P2422HE",1734.38,138.0,IFAM 2022-026 - SMART - EMBRAPII - Metrologia (12066-9/12067-7), Jailson Paulino Cezar,Diego Camara Sales,Doado,5202701
,,,463888.31000000006,,,,,,
