Nº Patrimônio,Produto,Descrição,Valor,Cód. Projeto,Projeto,Gestor,Coordenador,Situação,NF,Data Emissão da Nota,Data do Termo de Doação,Nº Termo de Doação
2866,Suporte Universal Gaiola Para Projetor,Suporte Universal Gaiola Para Projetor Multi-Gaiola Branco,589.0,149.0,IFAM 2023-001 - LG - Tecnologias Digitais 2º Ciclo (12127-4),Alessandra Castro Rocha ,Maria Cassiana Andrade Braga,Doado,774.0,2023-05-25,2025-12-10,Termo de doação nº 087-2025
2867,Smartphone,"Smartphone (5G) 128GB, preferencialmente Preto, especificações mínimas: Tela 6.7"", iOS15, 6 Core 2.3 GHZ, Foto 12 Mpx, Video 4K, 6 GB RAM",8074.0,149.0,IFAM 2023-001 - LG - Tecnologias Digitais 2º Ciclo (12127-4),Alessandra Castro Rocha ,Maria Cassiana Andrade Braga,Doado,37521.0,2023-06-01,2025-12-10,Termo de doação nº 087-2025
2868,Smartphone,"Smartphone (5G) 128GB, preferencialmente Preto, especificações mínimas: Tela 6.7"", iOS15, 6 Core 2.3 GHZ, Foto 12 Mpx, Video 4K, 6 GB RAM",8074.0,149.0,IFAM 2023-001 - LG - Tecnologias Digitais 2º Ciclo (12127-4),Alessandra Castro Rocha ,Maria Cassiana Andrade Braga,Doado,37521.0,2023-06-01,2025-12-10,Termo de doação nº 087-2025
2869,Smartphone,"Smartphone (5G) 256GB, preferencialmente Preto, especificações mínimas: Tela 6.7"", Android 12, 8 Core 2.2 GHZ, Foto 50 Mpx, Video 8K, 12 GB RAM",2699.0,149.0,IFAM 2023-001 - LG - Tecnologias Digitais 2º Ciclo (12127-4),Alessandra Castro Rocha ,Maria Cassiana Andrade Braga,Doado,7045413.0,2023-06-03,2025-12-10,Termo de doação nº 087-2025
2870,Smartphone,"Smartphone (5G) 256GB, preferencialmente Preto, especificações mínimas: Tela 6.7"", Android 12, 8 Core 2.2 GHZ, Foto 50 Mpx, Video 8K, 12 GB RAM",2699.0,149.0,IFAM 2023-001 - LG - Tecnologias Digitais 2º Ciclo (12127-4),Alessandra Castro Rocha ,Maria Cassiana Andrade Braga,Doado,7045413.0,2023-06-03,2025-12-10,Termo de doação nº 087-2025
2871,Persiana,"Fornecimento e instalação de persianas verticais em PVC (cor a definir) primeira linha, com 89 mm de largura recolhíeis e articuláveis para ambos os lados com galeria revestida (bando de alumínio), sendo: cabeçote em duralumínio; eixo interno em alumínio polido para facilitar o deslizamento dos carrinhos transportadores das lâminas que são blindados em nylon Delrim; sistema de rosca sem fim com ponta de regulagem automática; engrenagens de redução para funcionamento suave; movimento giratório de 180 graus, controlado por corrente do tipo bolinha de plástico nº 10; corrente da base de lâmina de plástico; trilho em alumínio adonisado a ser fixado na parede ou teto; recolhimento das lâminas em corda de nylon de 2,5 mm de diâmetro. OBS: Solicitar visita do fornecedor ao campus Distrito Industrial para levantamento de medidas no local da instalação.",3009.95,149.0,IFAM 2023-001 - LG - Tecnologias Digitais 2º Ciclo (12127-4),Alessandra Castro Rocha ,Maria Cassiana Andrade Braga,Doado,5.0,2023-06-12,2025-12-10,Termo de doação nº 087-2025
2872,Tela de projeção elétrica,"TELA DE PROJEÇÃO: Tela de projeção retrátil, de 100 polegadas.",749.0,149.0,IFAM 2023-001 - LG - Tecnologias Digitais 2º Ciclo (12127-4),Alessandra Castro Rocha ,Maria Cassiana Andrade Braga,Doado,1128.0,2023-05-26,2025-12-10,Termo de doação nº 087-2025
2873,Suporte Para TV,"Suporte Articulado para Tv de 37"" a 90"" KPM-955",987.0,149.0,IFAM 2023-001 - LG - Tecnologias Digitais 2º Ciclo (12127-4),Alessandra Castro Rocha ,Maria Cassiana Andrade Braga,Doado,1128.0,2023-05-26,2025-12-10,Termo de doação nº 087-2025
2874,IMPRESSORA 3D,"Especificação técnica: 
Hotend com garganta bi-metal e dissipador com aletas para maior troca de calor, Extrusora Sprite Direct drive, Placa-mãe 32 bits, fluxo de ar  aprimorado, Nivelamento automático CR Touch, Manta magnética PC, Retomada de impressão, Sensor de filamento.
Tecnologia de impressão: FDM (Modelagem por deposição fundida)
Sistema de movimentação: Cartesiano
Volume de impressão: 220 x 220 x 280 mm
Velocidade máxima de impressão: 150 mm/s
Temperatura máxima de extrusão: > 300°C
Temperatura máxima da mesa: 110°C
Precisão de impressão: ± 0.1 mm
Filamentos compatíveis: PLA, ABS, PETG, TPU (flexível), PC,
ASA, HIPS
Diâmetro do Filamento: 1.75 mm
Diâmetro do bico: 0.4 mm (Pode ser alterado)
Tensão: AC 110 – 220 V (Bivolt chaveada)
Fonte de alimentação: DC 24 V – 15 A – 350 W
Conexão: Micro Cartão SD ou Cabo USB
Formato dos arquivos: STL, AMF, OBJ, G-Code
Softwares de impressão: Utimaker CURA, Simplify 3D, Prusa Slicer, 
IdeaMaker, Repetier-Host e outros.
Sistema operacional (SO): Windows, Linux, MacOS
.
JUSTIFICATIVA: Equipamento para imprimir peças 3D com a tecnologia FDM usando filamentos ABS, nas aplicações descritas na ementa do curso. A impressora com a área de impressão enclausurada permite a retenção de calor e a capacidade de permitir que impressões com resinas mais sensíveis a variação térmica (como o ABS) possam ser impressas sem falhas. O enclausuramento pode diminuir a área de impressão dessas impressoras",5600.0,149.0,IFAM 2023-001 - LG - Tecnologias Digitais 2º Ciclo (12127-4),Alessandra Castro Rocha ,Maria Cassiana Andrade Braga,Doado,1046391.0,2023-06-13,2025-12-10,Termo de doação nº 087-2025
2875,IMPRESSORA 3D,"Especificação técnica:  Placa mãe 32 Bits silenciosa v2.5.1 - 32 bits, Hotend all-metal, Extrusora Sprite Direct drive, Nivelamento automático CR Touch, Dois fusos no eixo Z, Conectividade por Wi-fi ou cabo Rj-45, Manta magnética PEI, sensor de filamento, Iluminação LED, suporte de filamento rolamentado. Tecnologia de impressão: FDM (Modelagem por deposição fundida Sistema de movimentação: Cartesiano Volume de impressão: 300 x 300 x 400 mm Velocidade máxima de impressão: 120 mm/s Temperatura máxima de extrusão: 300°C Temperatura máxima da mesa: 100°C Precisão de impressão: ± 0.1 mm Filamentos compatíveis: PLA, ABS, PETG, TPU (flexível) e outros. Diâmetro do Filamento: 1.75 mm Diâmetro do bico: 0.4 mm (Pode ser alterado) Tensão: AC 110 – 220 V (Bivolt chaveada) Fonte de alimentação: DC 24 V – 15 A – 350 W Conexão: Cartão SD, Pendrive ou Cabo USB.Formato dos arquivos: STL, AMF, OBJ
Softwares de impressão: Utimaker CURA, Simplify 3D, Prusa Slicer, IdeaMaker e outros. 
Sistema operacional (SO): Windows, Linux, MacOS JUSTIFICATIVA: Equipamento necessário para impressões com o uso de filamento flexível TPU/TPE, nas aplicações descritas na ementa do curso. Nesse tipo de extrusora, o mecanismo fica associado ao sistema do bico de injeção, fazendo com que o filamento não passe por um tubo e seja diretamente impresso. Evitando assim que filamentos flexíveis não corram riscos de cisalhar ou quebrar no processo de extrusão.",7535.45,149.0,IFAM 2023-001 - LG - Tecnologias Digitais 2º Ciclo (12127-4),Alessandra Castro Rocha ,Maria Cassiana Andrade Braga,Doado,1046391.0,2023-06-13,2025-12-10,Termo de doação nº 087-2025
