Nº Patrimônio,Produto,Descrição,Valor,Cód. Projeto,Projeto,Gestor,Coordenador,Situação,NF,Data da Nota Fiscal,Identificação do Termo de Doação,Data do Termo de Doação
2393,ULTRAPURIFICADOR DE AGUA,ULTRAPURIFICADOR DE AGUA PURELAB QUEST UV PQDIUVM1,64320,_,Projeto 215 - FINEP - IFAM - Conta 9.838-8,_,Ana Lúcia Mendes dos Santos,Registrado,79646.0,2022-10-04,Termo de doação nº 013-2025,2025-12-10
2394,Refrigerador com Freezer Farmacêutico,"MPR-N250FH / MPR-N450FH - Refrigerador com Freezer Farmacêutico, 326 / 136 L - Nosso Pedido: PED 121564 - Seu Pedido: 03/2022",70000,_,Projeto 215 - FINEP - IFAM - Conta 9.838-8,_,Ana Lúcia Mendes dos Santos,Registrado,30367.0,2022-10-04,Termo de doação nº 013-2025,2025-12-10
2395,Centrifuga Universal Refrigerada,Centrifuga Universal Refrigerada Z366 K - Nosso Pedido: PED 121563 - Seu Pedido: 083/2022,103000,_,Projeto 215 - FINEP - IFAM - Conta 9.838-8,_,Ana Lúcia Mendes dos Santos,Registrado,30376.0,2022-10-05,Termo de doação nº 013-2025,2025-12-10
2396,Cabine de Segurança Biológica,"AC2-4S8-NS - Cabine de Segurança Biológica, Classe II, A2 - Nosso Pedido: PED 121563 - Seu Pedido: 083/2022",50000,_,Projeto 215 - FINEP - IFAM - Conta 9.838-8,_,Ana Lúcia Mendes dos Santos,Registrado,30376.0,2022-10-05,Termo de doação nº 013-2025,2025-12-10
2397,Nobreak,Nobreak 3.2 KVA SENOID E; 220V/S: 220 V B.EXT SINUS NG (NACIONAL),4250,_,Projeto 215 - FINEP - IFAM - Conta 9.838-8,_,Ana Lúcia Mendes dos Santos,Registrado,33692.0,2022-09-30,Termo de doação nº 013-2025,2025-12-10
2398,Nobreak,Nobreak 3.2 KVA SENOID E; 220V/S: 220 V B.EXT SINUS NG (NACIONAL),4250,_,Projeto 215 - FINEP - IFAM - Conta 9.838-8,_,Ana Lúcia Mendes dos Santos,Registrado,33692.0,2022-09-30,Termo de doação nº 013-2025,2025-12-10
2399,Nobreak,Nobreak 3.2 KVA SENOID E; 220V/S: 220 V B.EXT SINUS NG (NACIONAL),4250,_,Projeto 215 - FINEP - IFAM - Conta 9.838-8,_,Ana Lúcia Mendes dos Santos,Registrado,33692.0,2022-09-30,Termo de doação nº 013-2025,2025-12-10
2400,Nobreak,Nobreak 3.2 KVA SENOID E; 220V/S: 220 V B.EXT SINUS NG (NACIONAL),4250,_,Projeto 215 - FINEP - IFAM - Conta 9.838-8,_,Ana Lúcia Mendes dos Santos,Registrado,33692.0,2022-09-30,Termo de doação nº 013-2025,2025-12-10
2401,MANTA,MANTA AQUEC.P/DESTILACAO MOD.302R-230V,3200,_,Projeto 215 - FINEP - IFAM - Conta 9.838-8,_,Ana Lúcia Mendes dos Santos,Registrado,192.0,2022-10-06,Termo de doação nº 013-2025,2025-12-10
2402,MANTA,MANTA AQUEC.P/DESTILACAO MOD.302R-230V,3200,_,Projeto 215 - FINEP - IFAM - Conta 9.838-8,_,Ana Lúcia Mendes dos Santos,Registrado,192.0,2022-10-06,Termo de doação nº 013-2025,2025-12-10
