Nº Patrimônio,Produto,Descrição,Valor,Cód. Projeto,Projeto,Gestor,Coordenador,Situação,NF,Data Emissão da Nota,Data do Termo de Doação,Nº Termo de Doação
2556,Microcomputador,"Microcomputador Portatil Dell G5 15 5590 (Core i7-9750H, GTX1660Ti, RAM 16GB, SSD 512GB, DELL WIRELESS 1820, Display FHD, Bat. 4 Cel, MCAFEE 12 MESES, Win10 Home Advanced)",7854.78,18.0,IFAM 2020-006 - HUMAX (10.454-X),Jailson Paulino Cezar,Micíla Sumária Medeiros Pereira,Doado,2611491.0,2020-12-22,2025-12-10,Termo de doação nº 020-2025
2557,Microcomputador,"Microcomputador Portatil Dell G5 15 5590 (Core i7-9750H, GTX1660Ti, RAM 16GB, SSD 512GB, DELL WIRELESS 1820, Display FHD, Bat. 4 Cel, MCAFEE 12 MESES, Win10 Home Advanced)",7854.78,18.0,IFAM 2020-006 - HUMAX (10.454-X),Jailson Paulino Cezar,Micíla Sumária Medeiros Pereira,Doado,2611491.0,2020-12-22,2025-12-10,Termo de doação nº 020-2025
2558,Microcomputador,"Microcomputador Portatil Dell G5 15 5590 (Core i7-9750H, GTX1660Ti, RAM 16GB, SSD 512GB, DELL WIRELESS 1820, Display FHD, Bat. 4 Cel, MCAFEE 12 MESES, Win10 Home Advanced)",7854.78,18.0,IFAM 2020-006 - HUMAX (10.454-X),Jailson Paulino Cezar,Micíla Sumária Medeiros Pereira,Doado,2611491.0,2020-12-22,2025-12-10,Termo de doação nº 020-2025
2559,Monitor,"Monitor Dell de 27 "" P2719HE (EAN Code 5397184200452)",1433.52,18.0,IFAM 2020-006 - HUMAX (10.454-X),Jailson Paulino Cezar,Micíla Sumária Medeiros Pereira,Doado,2636523.0,2021-01-06,2025-12-10,Termo de doação nº 020-2025
2560,Monitor,"Monitor Dell de 27 "" P2719HE (EAN Code 5397184200452)",1433.52,18.0,IFAM 2020-006 - HUMAX (10.454-X),Jailson Paulino Cezar,Micíla Sumária Medeiros Pereira,Doado,2636523.0,2021-01-06,2025-12-10,Termo de doação nº 020-2025
2561,Monitor,"Monitor Dell de 27 "" P2719HE (EAN Code 5397184200452)",1433.52,18.0,IFAM 2020-006 - HUMAX (10.454-X),Jailson Paulino Cezar,Micíla Sumária Medeiros Pereira,Doado,2636523.0,2021-01-06,2025-12-10,Termo de doação nº 020-2025
2562,Monitor,"Monitor Dell de 27 "" P2719HE (EAN Code 5397184200452)",1433.52,18.0,IFAM 2020-006 - HUMAX (10.454-X),Jailson Paulino Cezar,Micíla Sumária Medeiros Pereira,Doado,2636523.0,2021-01-06,2025-12-10,Termo de doação nº 020-2025
2563,Monitor,"Monitor Dell de 27 "" P2719HE (EAN Code 5397184200452)",1433.51,18.0,IFAM 2020-006 - HUMAX (10.454-X),Jailson Paulino Cezar,Micíla Sumária Medeiros Pereira,Doado,2636523.0,2021-01-06,2025-12-10,Termo de doação nº 020-2025
2564,SWITCH,SWITCH GIGABIT DE MESA COM 8 PORTAS 10/100/1000 MBPS,210.0,18.0,IFAM 2020-006 - HUMAX (10.454-X),Jailson Paulino Cezar,Micíla Sumária Medeiros Pereira,Doado,5811.0,2021-01-20,2025-12-10,Termo de doação nº 020-2025
2565,SWITCH,SWITCH GIGABIT DE MESA COM 8 PORTAS 10/100/1000 MBPS,210.0,18.0,IFAM 2020-006 - HUMAX (10.454-X),Jailson Paulino Cezar,Micíla Sumária Medeiros Pereira,Doado,5811.0,2021-01-20,2025-12-10,Termo de doação nº 020-2025
